meter_id,daily_kw,date,region
M-0001,1000.0,2026-02-15,NORTH
M-0002,2000.0,2026-02-15,NORTH
M-0003,1500.0,2026-02-20,NORTH
M-0004,1000.0,2026-02-15,SOUTH
M-0005,1500.0,2026-02-15,SOUTH
M-0006,2000.0,2026-02-20,SOUTH
M-0007,1100.0,2026-02-15,EAST
M-0008,1900.0,2026-02-20,EAST
M-0009,1500.0,2026-02-15,EAST
M-0010,2000.0,2026-02-20,WEST
M-0011,2500.0,2026-02-15,WEST
M-0012,1500.0,2026-02-20,WEST
M-0013,1800.0,2026-03-10,NORTH
M-0014,2200.0,2026-03-15,NORTH
M-0015,1000.0,2026-03-10,NORTH
M-0016,2000.0,2026-03-15,SOUTH
M-0017,1500.0,2026-03-10,SOUTH
M-0018,1500.0,2026-03-15,SOUTH
M-0019,2000.0,2026-03-10,EAST
M-0020,1500.0,2026-03-15,EAST
M-0021,1500.0,2026-03-10,EAST
M-0022,2000.0,2026-03-15,WEST
,1500.0,2026-03-10,NORTH
,1800.0,2026-03-15,SOUTH
M-0019,-200.0,2026-03-10,EAST
M-0022,-100.0,2026-03-15,WEST
M-0001,1000.0,2026-02-15,NORTH
M-0008,1900.0,2026-02-20,EAST
M-0013,1800.0,2026-03-10,NORTH
M-0019,2000.0,2026-03-10,EAST
