meter_id,daily_kw_str,date,region
M-0001,1200.5,2026-03-10,NORTH
M-0002,1850.3,2026-03-10,NORTH
M-0003,2100.7,2026-03-10,NORTH
M-0004,950.2,2026-03-10,NORTH
M-0005,1500.0,2026-03-10,SOUTH
M-0006,N/A,2026-03-10,SOUTH
M-0007,1100.5,2026-03-10,SOUTH
M-0008,1700.2,2026-03-10,SOUTH
M-0009,1400.6,2026-03-10,EAST
M-0010,N/A,2026-03-10,EAST
M-0011,2500.1,2026-03-10,EAST
M-0012,1050.8,2026-03-10,EAST
M-0013,1800.0,2026-03-10,WEST
M-0014,N/A,2026-03-10,WEST
M-0015,1250.7,2026-03-10,WEST
M-0016,1950.2,2026-03-10,WEST
M-0017,2200.5,2026-03-10,NORTH
M-0018,N/A,2026-03-10,SOUTH
M-0019,1650.4,2026-03-10,EAST
M-0020,N/A,2026-03-10,WEST
