meter_id,daily_kw,date,region
M-001,1100.0,2026-04-04,NORTH-A
M-002,1200.0,2026-04-05,NORTH-A
M-003,1300.0,2026-04-06,NORTH-A
M-004,1400.0,2026-04-07,NORTH-A
M-005,1500.0,2026-04-08,NORTH-A
M-006,1600.0,2026-04-04,NORTH-B
M-007,1700.0,2026-04-05,NORTH-B
M-008,1800.0,2026-04-06,NORTH-B
M-009,1900.0,2026-04-07,NORTH-B
M-010,2000.0,2026-04-08,NORTH-B
M-011,2100.0,2026-04-04,SOUTH-A
M-012,2200.0,2026-04-05,SOUTH-A
M-013,2300.0,2026-04-06,SOUTH-A
M-014,2400.0,2026-04-07,SOUTH-A
M-015,1000.0,2026-04-08,SOUTH-A
M-016,1100.0,2026-04-04,SOUTH-B
M-017,1200.0,2026-04-05,SOUTH-B
M-018,1300.0,2026-04-06,SOUTH-B
M-019,1400.0,2026-04-07,SOUTH-B
M-020,1500.0,2026-04-08,SOUTH-B
M-021,1600.0,2026-04-04,EAST-A
M-022,1700.0,2026-04-05,EAST-A
M-023,1800.0,2026-04-06,EAST-A
M-024,1900.0,2026-04-07,EAST-A
M-025,2000.0,2026-04-08,EAST-A
M-026,2100.0,2026-04-04,EAST-B
M-027,2200.0,2026-04-05,EAST-B
M-028,2300.0,2026-04-06,EAST-B
M-029,2400.0,2026-04-07,EAST-B
M-030,1000.0,2026-04-08,EAST-B
M-031,1100.0,2026-04-04,EAST-C
M-032,1200.0,2026-04-05,EAST-C
M-033,1300.0,2026-04-06,EAST-C
M-034,1400.0,2026-04-07,EAST-C
M-035,1500.0,2026-04-08,EAST-C
M-036,1600.0,2026-04-04,WEST-A
M-037,1700.0,2026-04-05,WEST-A
M-038,1800.0,2026-04-06,WEST-A
M-039,1900.0,2026-04-07,WEST-A
M-040,2000.0,2026-04-08,WEST-A
M-041,2100.0,2026-04-04,WEST-B
M-042,2200.0,2026-04-05,WEST-B
M-043,2300.0,2026-04-06,WEST-B
M-044,2400.0,2026-04-07,WEST-B
M-045,1000.0,2026-04-08,WEST-B
M-046,1100.0,2026-04-04,CENTRAL-A
M-047,1200.0,2026-04-05,CENTRAL-A
M-048,1300.0,2026-04-06,CENTRAL-A
M-049,1400.0,2026-04-07,CENTRAL-A
M-050,1500.0,2026-04-08,CENTRAL-A
M-051,1600.0,2026-04-04,CENTRAL-B
M-052,1700.0,2026-04-05,CENTRAL-B
M-053,1800.0,2026-04-06,CENTRAL-B
M-054,1900.0,2026-04-07,CENTRAL-B
M-055,2000.0,2026-04-08,CENTRAL-B
M-056,2100.0,2026-04-04,CENTRAL-C
M-057,2200.0,2026-04-05,CENTRAL-C
M-058,2300.0,2026-04-06,CENTRAL-C
M-059,2400.0,2026-04-07,CENTRAL-C
M-060,1000.0,2026-04-08,CENTRAL-C
