meter_id,daily_kw,date,region
M-0001,1200.5,2026-03-10,NORTH-A
M-0002,1850.3,2026-03-10,NORTH-A
M-0003,2100.7,2026-03-10,NORTH-A
M-0004,950.2,2026-03-10,NORTH-A
M-0005,1500.0,2026-03-10,NORTH-A
M-0006,1700.0,2026-03-10,NORTH-A
M-0007,1100.0,2026-03-10,NORTH-B
M-0008,1900.0,2026-03-10,NORTH-B
M-0009,1400.0,2026-03-10,NORTH-B
M-0010,2200.0,2026-03-10,NORTH-B
M-0011,1300.0,2026-03-10,NORTH-B
M-0012,1100.0,2026-03-10,SOUTH-A
M-0013,1850.0,2026-03-10,SOUTH-A
M-0014,1600.0,2026-03-10,SOUTH-A
M-0015,2050.0,2026-03-10,SOUTH-A
M-0016,1450.0,2026-03-10,SOUTH-A
M-0017,1750.0,2026-03-10,SOUTH-B
M-0018,1250.0,2026-03-10,SOUTH-B
M-0019,1950.0,2026-03-10,SOUTH-B
M-0020,1550.0,2026-03-10,SOUTH-B
M-0021,1850.0,2026-03-10,SOUTH-B
M-0022,1100.0,2026-03-10,EAST-A
M-0023,1700.0,2026-03-10,EAST-A
M-0024,1400.0,2026-03-10,EAST-A
M-0025,1900.0,2026-03-10,EAST-A
M-0026,1500.0,2026-03-10,EAST-A
M-0027,1200.0,2026-03-10,EAST-B
M-0028,1800.0,2026-03-10,EAST-B
M-0029,1500.0,2026-03-10,EAST-B
M-0030,2000.0,2026-03-10,EAST-B
M-0031,1300.0,2026-03-10,EAST-B
M-0032,1850.0,2026-03-10,EAST-C
M-0033,1550.0,2026-03-10,EAST-C
M-0034,1250.0,2026-03-10,EAST-C
M-0035,1950.0,2026-03-10,EAST-C
M-0036,1100.0,2026-03-10,WEST-A
M-0037,1700.0,2026-03-10,WEST-A
M-0038,1400.0,2026-03-10,WEST-A
M-0039,1900.0,2026-03-10,WEST-A
M-0040,1500.0,2026-03-10,WEST-A
M-0041,1200.0,2026-03-10,WEST-B
M-0042,1800.0,2026-03-10,WEST-B
M-0043,1500.0,2026-03-10,WEST-B
M-0044,2000.0,2026-03-10,WEST-B
M-0045,1300.0,2026-03-10,WEST-B
M-0046,1750.0,2026-03-10,CENTRAL-A
M-0047,1450.0,2026-03-10,CENTRAL-A
M-0048,1950.0,2026-03-10,CENTRAL-A
M-0049,1250.0,2026-03-10,CENTRAL-A
M-0050,1850.0,2026-03-10,CENTRAL-A
M-0051,1100.0,2026-03-10,CENTRAL-B
M-0052,1700.0,2026-03-10,CENTRAL-B
M-0053,1400.0,2026-03-10,CENTRAL-B
M-0054,1900.0,2026-03-10,CENTRAL-B
M-0055,1500.0,2026-03-10,CENTRAL-B
M-0056,1200.0,2026-03-10,CENTRAL-C
M-0057,1800.0,2026-03-10,CENTRAL-C
M-0058,1500.0,2026-03-10,CENTRAL-C
M-0059,2000.0,2026-03-10,CENTRAL-C
M-0060,1300.0,2026-03-10,CENTRAL-C
