meter_id,daily_kw,date,region
M-0001,1600.0,2026-04-08,NORTH-A
M-0002,1700.0,2026-04-08,NORTH-B
M-0003,1800.0,2026-04-08,SOUTH-A
M-0004,1900.0,2026-04-08,SOUTH-B
M-0005,2000.0,2026-04-08,EAST-A
M-0006,2100.0,2026-04-08,EAST-B
M-0007,2200.0,2026-04-08,EAST-C
M-0008,2300.0,2026-04-08,WEST-A
M-0009,2400.0,2026-04-08,WEST-B
M-0010,2500.0,2026-04-08,CENTRAL-A
M-0051,1600.0,2026-04-08,SOUTH-A
M-0052,1700.0,2026-04-08,SOUTH-B
M-0053,1800.0,2026-04-08,EAST-A
M-0054,1900.0,2026-04-08,EAST-B
M-0055,2000.0,2026-04-08,EAST-C
M-0056,2100.0,2026-04-08,WEST-A
M-0057,2200.0,2026-04-08,WEST-B
M-0058,2300.0,2026-04-08,CENTRAL-A
M-0059,2400.0,2026-04-08,CENTRAL-B
M-0060,1000.0,2026-04-08,CENTRAL-C
M-0061,1100.0,2026-04-08,NORTH-A
M-0062,1200.0,2026-04-08,NORTH-B
M-0063,1300.0,2026-04-08,SOUTH-A
M-0064,1400.0,2026-04-08,SOUTH-B
M-0065,1500.0,2026-04-08,EAST-A
M-0066,1600.0,2026-04-08,EAST-B
M-0067,1700.0,2026-04-08,EAST-C
M-0068,1800.0,2026-04-08,WEST-A
M-0069,1900.0,2026-04-08,WEST-B
M-0070,2000.0,2026-04-08,CENTRAL-A
