file_path,partition_date,file_size_mb,row_count
lh_silver/readings/date=2026-03-01/part-00000.parquet,2026-03-01,327.9,3934799
lh_silver/readings/date=2026-03-02/part-00001.parquet,2026-03-02,205.0,2460000
lh_silver/readings/date=2026-03-03/part-00002.parquet,2026-03-03,255.0,3060000
lh_silver/readings/date=2026-03-04/part-00003.parquet,2026-03-04,244.6,2935200
lh_silver/readings/date=2026-03-05/part-00004.parquet,2026-03-05,347.3,4167600
lh_silver/readings/date=2026-03-06/part-00005.parquet,2026-03-06,335.3,4023600
lh_silver/readings/date=2026-03-07/part-00006.parquet,2026-03-07,378.4,4540800
lh_silver/readings/date=2026-03-08/part-00007.parquet,2026-03-08,217.4,2608800
lh_silver/readings/date=2026-03-09/part-00008.parquet,2026-03-09,284.4,3412799
lh_silver/readings/date=2026-03-10/part-00009.parquet,2026-03-10,206.0,2472000
lh_silver/readings/date=2026-03-11/part-00010.parquet,2026-03-11,243.7,2924400
lh_silver/readings/date=2026-03-12/part-00011.parquet,2026-03-12,301.1,3613200
lh_silver/readings/date=2026-03-13/part-00012.parquet,2026-03-13,205.3,2463600
lh_silver/readings/date=2026-03-14/part-00013.parquet,2026-03-14,239.8,2877600
lh_silver/readings/date=2026-03-15/part-00014.parquet,2026-03-15,330.0,3960000
lh_silver/readings/date=2026-03-16/part-00015.parquet,2026-03-16,309.0,3708000
lh_silver/readings/date=2026-03-17/part-00016.parquet,2026-03-17,244.1,2929200
lh_silver/readings/date=2026-03-18/part-00017.parquet,2026-03-18,317.9,3814799
lh_silver/readings/date=2026-03-19/part-00018.parquet,2026-03-19,361.9,4342800
lh_silver/readings/date=2026-03-20/part-00019.parquet,2026-03-20,201.3,2415600
lh_silver/readings/date=2026-03-21/part-00020.parquet,2026-03-21,361.2,4334400
lh_silver/readings/date=2026-03-22/part-00021.parquet,2026-03-22,339.6,4075200
lh_silver/readings/date=2026-03-23/part-00022.parquet,2026-03-23,268.1,3217200
lh_silver/readings/date=2026-03-24/part-00023.parquet,2026-03-24,231.1,2773200
lh_silver/readings/date=2026-03-25/part-00024.parquet,2026-03-25,391.4,4696800
lh_silver/readings/date=2026-03-26/part-00025.parquet,2026-03-26,267.3,3207600
lh_silver/readings/date=2026-03-27/part-00026.parquet,2026-03-27,218.5,2622000
lh_silver/readings/date=2026-03-28/part-00027.parquet,2026-03-28,219.3,2631600
lh_silver/readings/date=2026-03-29/part-00028.parquet,2026-03-29,369.5,4434000
lh_silver/readings/date=2026-03-30/part-00029.parquet,2026-03-30,320.7,3848400
lh_silver/readings/date=2026-03-01/part-00030.parquet,2026-03-01,361.4,4336800
lh_silver/readings/date=2026-03-02/part-00031.parquet,2026-03-02,345.9,4150799
lh_silver/readings/date=2026-03-03/part-00032.parquet,2026-03-03,307.2,3686400
lh_silver/readings/date=2026-03-04/part-00033.parquet,2026-03-04,394.6,4735200
lh_silver/readings/date=2026-03-05/part-00034.parquet,2026-03-05,275.7,3308400
lh_silver/readings/date=2026-03-06/part-00035.parquet,2026-03-06,310.4,3724799
lh_silver/readings/date=2026-03-07/part-00036.parquet,2026-03-07,365.9,4390800
lh_silver/readings/date=2026-03-08/part-00037.parquet,2026-03-08,323.7,3884400
lh_silver/readings/date=2026-03-09/part-00038.parquet,2026-03-09,372.3,4467600
lh_silver/readings/date=2026-03-10/part-00039.parquet,2026-03-10,315.5,3786000
lh_silver/readings/date=2026-03-11/part-00040.parquet,2026-03-11,340.9,4090799
lh_silver/readings/date=2026-03-12/part-00041.parquet,2026-03-12,209.2,2510400
lh_silver/readings/date=2026-03-13/part-00042.parquet,2026-03-13,245.6,2947200
lh_silver/readings/date=2026-03-14/part-00043.parquet,2026-03-14,257.9,3094799
lh_silver/readings/date=2026-03-15/part-00044.parquet,2026-03-15,216.0,2592000
lh_silver/readings/date=2026-03-16/part-00045.parquet,2026-03-16,246.6,2959200
lh_silver/readings/date=2026-03-17/part-00046.parquet,2026-03-17,220.2,2642400
lh_silver/readings/date=2026-03-18/part-00047.parquet,2026-03-18,255.6,3067200
lh_silver/readings/date=2026-03-19/part-00048.parquet,2026-03-19,327.1,3925200
lh_silver/readings/date=2026-03-20/part-00049.parquet,2026-03-20,273.0,3276000
lh_silver/readings/date=2026-03-21/part-00050.parquet,2026-03-21,274.0,3288000
lh_silver/readings/date=2026-03-22/part-00051.parquet,2026-03-22,241.9,2902800
lh_silver/readings/date=2026-03-23/part-00052.parquet,2026-03-23,253.4,3040800
lh_silver/readings/date=2026-03-24/part-00053.parquet,2026-03-24,387.3,4647600
lh_silver/readings/date=2026-03-25/part-00054.parquet,2026-03-25,329.6,3955200
lh_silver/readings/date=2026-03-26/part-00055.parquet,2026-03-26,321.8,3861600
lh_silver/readings/date=2026-03-27/part-00056.parquet,2026-03-27,234.2,2810400
lh_silver/readings/date=2026-03-28/part-00057.parquet,2026-03-28,345.8,4149600
lh_silver/readings/date=2026-03-29/part-00058.parquet,2026-03-29,232.7,2792400
lh_silver/readings/date=2026-03-30/part-00059.parquet,2026-03-30,275.9,3310799
lh_silver/readings/date=2026-03-01/part-00060.parquet,2026-03-01,397.9,4774800
lh_silver/readings/date=2026-03-02/part-00061.parquet,2026-03-02,328.0,3936000
lh_silver/readings/date=2026-03-03/part-00062.parquet,2026-03-03,311.4,3736799
lh_silver/readings/date=2026-03-04/part-00063.parquet,2026-03-04,336.9,4042799
lh_silver/readings/date=2026-03-05/part-00064.parquet,2026-03-05,368.6,4423200
lh_silver/readings/date=2026-03-06/part-00065.parquet,2026-03-06,355.2,4262400
lh_silver/readings/date=2026-03-07/part-00066.parquet,2026-03-07,245.8,2949600
lh_silver/readings/date=2026-03-08/part-00067.parquet,2026-03-08,206.4,2476800
lh_silver/readings/date=2026-03-09/part-00068.parquet,2026-03-09,263.1,3157200
lh_silver/readings/date=2026-03-10/part-00069.parquet,2026-03-10,253.5,3042000
lh_silver/readings/date=2026-03-11/part-00070.parquet,2026-03-11,242.2,2906400
lh_silver/readings/date=2026-03-12/part-00071.parquet,2026-03-12,388.6,4663200
lh_silver/readings/date=2026-03-13/part-00072.parquet,2026-03-13,375.3,4503600
lh_silver/readings/date=2026-03-14/part-00073.parquet,2026-03-14,262.9,3154799
lh_silver/readings/date=2026-03-15/part-00074.parquet,2026-03-15,331.1,3973200
lh_silver/readings/date=2026-03-16/part-00075.parquet,2026-03-16,279.1,3349200
lh_silver/readings/date=2026-03-17/part-00076.parquet,2026-03-17,382.9,4594800
lh_silver/readings/date=2026-03-18/part-00077.parquet,2026-03-18,291.8,3501600
