meter_id,daily_kw,date,region,customer_type,substation_id,is_valid,tier
M-00001,2136.8,2026-03-20,EAST,industrial,SUB-013,true,high
M-00002,1953.5,2026-03-10,SOUTH_COAST,industrial,SUB-003,true,medium
M-00003,946.9,2026-03-15,WEST,residential,SUB-040,true,medium
M-00004,2377.2,2026-03-20,EAST,industrial,SUB-021,true,high
M-00005,2119.0,2026-03-16,NORTH_COAST,commercial,SUB-003,true,high
M-00006,1181.8,2026-03-22,NORTH_INLAND,residential,SUB-032,true,medium
M-00007,4188.8,2026-03-10,NORTH_COAST,residential,SUB-007,true,critical
M-00008,101.7,2026-03-14,NORTH,residential,SUB-013,true,low
M-00009,3959.3,2026-03-12,NORTH_COAST,commercial,SUB-013,true,high
M-00010,1421.3,2026-03-13,NORTH_COAST,commercial,SUB-013,true,medium
M-00011,3901.1,2026-03-15,NORTH_COAST,industrial,SUB-016,true,high
M-00012,305.4,2026-03-22,WEST_INLAND,residential,SUB-025,true,low
M-00013,2599.1,2026-03-22,NORTH_COAST,residential,SUB-011,true,high
M-00014,3995.2,2026-03-15,NORTH_COAST,residential,SUB-013,true,high
M-00015,410.0,2026-03-10,SOUTH,commercial,SUB-033,true,low
M-00016,517.4,2026-03-15,NORTH_COAST,industrial,SUB-011,true,medium
M-00017,3064.4,2026-03-19,NORTH_COAST,industrial,SUB-020,true,high
M-00018,4235.5,2026-03-20,WEST_INLAND,residential,SUB-012,true,critical
M-00019,644.9,2026-03-17,SOUTH_COAST,residential,SUB-001,true,medium
M-00020,2942.3,2026-03-21,NORTH_COAST,residential,SUB-039,true,high
M-00021,500.6,2026-03-17,NORTH_COAST,commercial,SUB-011,true,medium
M-00022,3632.8,2026-03-10,SOUTH,industrial,SUB-006,true,high
M-00023,1683.5,2026-03-10,NORTH_COAST,residential,SUB-006,true,medium
M-00024,4330.0,2026-03-17,NORTH_COAST,industrial,SUB-017,true,critical
M-00025,1133.9,2026-03-17,EAST,commercial,SUB-031,true,medium
M-00026,374.0,2026-03-12,WEST_COAST,residential,SUB-040,true,low
M-00027,2515.0,2026-03-11,EAST,residential,SUB-027,true,high
M-00028,2929.4,2026-03-10,WEST_INLAND,residential,SUB-039,true,high
M-00029,4045.1,2026-03-16,NORTH_INLAND,residential,SUB-032,true,critical
M-00030,729.8,2026-03-14,WEST_COAST,residential,SUB-039,true,medium
M-00031,3496.8,2026-03-21,SOUTH,residential,SUB-025,true,high
M-00032,1168.2,2026-03-11,NORTH_INLAND,industrial,SUB-020,true,medium
M-00033,3791.4,2026-03-18,SOUTH_COAST,industrial,SUB-018,true,high
