meter_id,daily_kw,date,region,substation_id
M-00001,3549.5,2026-03-10,NORTH_COAST,SUB-015
M-00002,4170.2,2026-03-16,NORTH,SUB-018
M-00003,3059.8,2026-03-11,WEST,SUB-024
M-00004,3160.3,2026-03-10,WEST_COAST,SUB-001
M-00005,3128.9,2026-03-14,NORTH_COAST,SUB-038
M-00006,1655.7,2026-03-14,SOUTH_COAST,SUB-001
M-00007,1308.2,2026-03-10,WEST_INLAND,SUB-001
M-00008,1147.9,2026-03-13,WEST,SUB-001
M-00009,4026.9,2026-03-16,NORTH,SUB-010
M-00010,3661.4,2026-03-14,EAST_COAST,SUB-001
M-00011,2070.4,2026-03-16,WEST_COAST,SUB-023
M-00012,294.5,2026-03-12,WEST_COAST,SUB-013
M-00013,262.2,2026-03-16,WEST_INLAND,SUB-007
M-00014,465.4,2026-03-16,WEST_COAST,SUB-018
M-00015,1239.9,2026-03-16,SOUTH_COAST,SUB-034
M-00016,3821.9,2026-03-10,NORTH_COAST,SUB-004
M-00017,3407.1,2026-03-14,EAST_COAST,SUB-023
M-00018,4143.0,2026-03-12,NORTH_INLAND,SUB-014
M-00019,1691.4,2026-03-10,WEST,SUB-026
M-00020,1898.7,2026-03-11,SOUTH_COAST,SUB-001
M-00021,3129.6,2026-03-13,WEST_COAST,SUB-017
M-00022,770.9,2026-03-10,EAST_COAST,SUB-001
M-00023,2847.6,2026-03-10,EAST_INLAND,SUB-017
M-00024,1634.6,2026-03-11,NORTH_COAST,SUB-001
M-00025,2221.7,2026-03-12,SOUTH_COAST,SUB-001
M-00026,2358.0,2026-03-12,SOUTH,SUB-028
M-00027,1193.0,2026-03-15,NORTH_COAST,SUB-009
M-00028,2302.8,2026-03-15,EAST,SUB-001
M-00029,3911.8,2026-03-15,NORTH_COAST,SUB-025
M-00030,4104.8,2026-03-13,SOUTH_INLAND,SUB-001
M-00031,3237.2,2026-03-11,SOUTH_COAST,SUB-001
M-00032,444.5,2026-03-11,SOUTH_COAST,SUB-035
M-00033,2734.6,2026-03-15,WEST_COAST,SUB-001
M-00034,3141.6,2026-03-10,WEST_COAST,SUB-034
M-00035,1263.2,2026-03-15,WEST_COAST,SUB-009
M-00036,1742.6,2026-03-10,NORTH_COAST,SUB-001
M-00037,2003.8,2026-03-13,NORTH,SUB-020
M-00038,1821.6,2026-03-13,WEST_INLAND,SUB-018
M-00039,2572.1,2026-03-11,NORTH_INLAND,SUB-001
M-00040,1552.3,2026-03-16,NORTH,SUB-001
M-00041,2421.9,2026-03-14,EAST_COAST,SUB-001
M-00042,4045.3,2026-03-12,EAST_COAST,SUB-012
M-00043,97.6,2026-03-16,EAST_COAST,SUB-001
M-00044,3332.9,2026-03-12,EAST_INLAND,SUB-034
M-00045,2134.0,2026-03-13,NORTH,SUB-005
M-00046,1188.8,2026-03-10,EAST_COAST,SUB-001
M-00047,89.7,2026-03-11,EAST,SUB-032
M-00048,1178.9,2026-03-12,WEST_INLAND,SUB-001
M-00049,487.4,2026-03-14,SOUTH,SUB-001
M-00050,3648.2,2026-03-14,SOUTH_INLAND,SUB-001
M-00051,787.4,2026-03-11,NORTH_INLAND,SUB-016
M-00052,2313.2,2026-03-10,SOUTH_INLAND,SUB-001
M-00053,1234.7,2026-03-11,NORTH_COAST,SUB-013
M-00054,540.9,2026-03-11,WEST_COAST,SUB-004
M-00055,2678.6,2026-03-12,EAST_COAST,SUB-001
M-00056,874.4,2026-03-10,NORTH_COAST,SUB-008
M-00057,3943.8,2026-03-10,NORTH,SUB-018
M-00058,2545.1,2026-03-14,WEST,SUB-023
M-00059,2955.8,2026-03-14,WEST,SUB-001
M-00060,3697.1,2026-03-10,EAST,SUB-001
M-00061,3281.9,2026-03-16,SOUTH,SUB-022
M-00062,2361.2,2026-03-16,NORTH_INLAND,SUB-001
M-00063,3085.3,2026-03-13,SOUTH,SUB-021
M-00064,3415.8,2026-03-13,NORTH_INLAND,SUB-013
M-00065,3105.2,2026-03-11,SOUTH_COAST,SUB-034
M-00066,2810.5,2026-03-14,NORTH_COAST,SUB-001
M-00067,1195.4,2026-03-10,NORTH_COAST,SUB-028
M-00068,2499.4,2026-03-13,NORTH_INLAND,SUB-025
M-00069,2485.1,2026-03-11,NORTH_INLAND,SUB-001
M-00070,431.5,2026-03-13,WEST_INLAND,SUB-005
M-00071,1765.8,2026-03-13,NORTH_COAST,SUB-003
M-00072,3638.2,2026-03-16,WEST,SUB-013
M-00073,756.3,2026-03-10,SOUTH,SUB-001
M-00074,3299.3,2026-03-15,NORTH_COAST,SUB-040
M-00075,3126.9,2026-03-10,WEST_INLAND,SUB-001
M-00076,3646.0,2026-03-10,SOUTH_INLAND,SUB-001
M-00077,1040.5,2026-03-14,EAST_INLAND,SUB-031
M-00078,3086.5,2026-03-12,SOUTH,SUB-001
M-00079,377.5,2026-03-10,EAST,SUB-001
M-00080,616.8,2026-03-16,NORTH,SUB-007
M-00081,1874.8,2026-03-13,EAST,SUB-032
M-00082,3108.3,2026-03-16,WEST,SUB-033
M-00083,1871.6,2026-03-16,SOUTH,SUB-004
M-00084,3628.0,2026-03-12,EAST_INLAND,SUB-001
M-00085,1772.9,2026-03-15,SOUTH_COAST,SUB-001
M-00086,1720.9,2026-03-10,WEST,SUB-006
M-00087,3425.6,2026-03-15,SOUTH_INLAND,SUB-001
M-00088,134.8,2026-03-16,WEST,SUB-001
M-00089,3560.8,2026-03-14,SOUTH_INLAND,SUB-015
M-00090,3461.1,2026-03-14,EAST_INLAND,SUB-024
M-00091,513.5,2026-03-11,WEST,SUB-026
M-00092,701.4,2026-03-14,EAST_INLAND,SUB-009
M-00093,4197.8,2026-03-13,EAST,SUB-001
M-00094,3793.1,2026-03-16,SOUTH_INLAND,SUB-006
M-00095,2152.9,2026-03-11,SOUTH_COAST,SUB-038
M-00096,3519.6,2026-03-14,WEST_COAST,SUB-001
M-00097,623.6,2026-03-15,NORTH,SUB-037
M-00098,1504.6,2026-03-11,SOUTH_COAST,SUB-001
M-00099,2488.9,2026-03-14,EAST,SUB-001
M-00100,2173.6,2026-03-14,SOUTH_INLAND,SUB-007
M-00101,1013.6,2026-03-14,NORTH_INLAND,SUB-024
M-00102,3297.3,2026-03-10,WEST,SUB-038
M-00103,821.2,2026-03-13,EAST_COAST,SUB-001
M-00104,2582.9,2026-03-16,EAST_COAST,SUB-034
M-00105,573.2,2026-03-15,NORTH,SUB-001
M-00106,1356.1,2026-03-14,SOUTH,SUB-024
M-00107,3406.1,2026-03-13,EAST_INLAND,SUB-017
M-00108,4059.0,2026-03-12,SOUTH,SUB-001
M-00109,2471.5,2026-03-13,SOUTH_INLAND,SUB-029
M-00110,3541.8,2026-03-14,NORTH_INLAND,SUB-039
M-00111,2504.4,2026-03-16,WEST_COAST,SUB-001
M-00112,1840.5,2026-03-13,SOUTH_INLAND,SUB-030
M-00113,3510.8,2026-03-14,NORTH_INLAND,SUB-040
M-00114,3350.6,2026-03-10,WEST,SUB-001
M-00115,1516.5,2026-03-13,NORTH_COAST,SUB-010
M-00116,3422.3,2026-03-16,SOUTH,SUB-001
M-00117,203.8,2026-03-13,NORTH,SUB-030
M-00118,1487.7,2026-03-11,SOUTH,SUB-001
M-00119,1847.1,2026-03-15,SOUTH_INLAND,SUB-015
M-00120,720.3,2026-03-11,SOUTH_INLAND,SUB-021
M-00121,3181.0,2026-03-12,WEST,SUB-013
M-00122,3140.6,2026-03-16,WEST_INLAND,SUB-037
M-00123,3823.2,2026-03-10,WEST,SUB-012
