meter_id,daily_kw,date,region,customer_type,substation_id,capacity_flag
M-00601,1795,2026-03-29,EAST_COAST,residential,SUB-001,false
M-00602,577,2026-03-28,SOUTH_COAST,residential,SUB-019,false
M-00603,1478,2026-03-26,WEST_INLAND,residential,SUB-010,false
M-00604,890,2026-03-25,NORTH_COAST,residential,SUB-003,false
M-00605,2771,2026-03-26,WEST_COAST,commercial,SUB-022,false
M-00606,2768,2026-03-29,SOUTH_COAST,commercial,SUB-007,false
M-00607,1439,2026-03-24,NORTH_COAST,commercial,SUB-003,false
M-00608,2669,2026-03-25,WEST_COAST,residential,SUB-002,false
M-00609,1162,2026-03-30,SOUTH,residential,SUB-024,false
M-00610,865,2026-03-28,NORTH,commercial,SUB-038,false
M-00611,2309,2026-03-25,WEST,commercial,SUB-009,false
M-00612,1498,2026-03-30,SOUTH,residential,SUB-027,false
M-00613,2935,2026-03-29,NORTH_COAST,residential,SUB-040,false
M-00614,4176,2026-03-28,NORTH,residential,SUB-025,true
M-00615,4057,2026-03-29,SOUTH_INLAND,residential,SUB-002,true
M-00616,4127,2026-03-25,NORTH_COAST,residential,SUB-018,true
M-00617,2768,2026-03-27,NORTH_COAST,residential,SUB-040,false
M-00618,2753,2026-03-26,NORTH,commercial,SUB-003,false
M-00619,1660,2026-03-25,EAST_INLAND,residential,SUB-001,false
M-00620,3954,2026-03-26,WEST_COAST,residential,SUB-021,true
M-00621,1295,2026-03-25,NORTH,residential,SUB-010,false
M-00622,460,2026-03-30,EAST_INLAND,residential,SUB-022,false
M-00623,3496,2026-03-30,NORTH,residential,SUB-009,true
M-00624,641,2026-03-30,EAST_INLAND,commercial,SUB-016,false
M-00625,3928,2026-03-27,EAST_COAST,residential,SUB-025,true
M-00626,3067,2026-03-24,NORTH_INLAND,industrial,SUB-010,true
M-00627,3164,2026-03-28,SOUTH_COAST,residential,SUB-033,true
M-00628,2178,2026-03-26,EAST_INLAND,commercial,SUB-010,false
M-00629,868,2026-03-30,WEST_COAST,residential,SUB-036,false
M-00630,2507,2026-03-27,EAST_COAST,residential,SUB-006,false
M-00631,2423,2026-03-25,EAST,residential,SUB-004,false
M-00632,186,2026-03-27,NORTH_INLAND,residential,SUB-039,false
M-00633,1654,2026-03-29,NORTH_COAST,industrial,SUB-013,false
M-00634,3637,2026-03-24,NORTH,residential,SUB-005,true
M-00635,3423,2026-03-27,EAST,commercial,SUB-029,true
M-00636,1065,2026-03-30,SOUTH_INLAND,commercial,SUB-026,false
M-00637,2744,2026-03-25,NORTH_INLAND,industrial,SUB-014,false
M-00638,2432,2026-03-25,SOUTH_INLAND,residential,SUB-002,false
M-00639,157,2026-03-25,WEST_INLAND,residential,SUB-033,false
M-00640,4014,2026-03-28,SOUTH_COAST,residential,SUB-018,true
M-00641,2187,2026-03-26,EAST_COAST,commercial,SUB-037,false
M-00642,538,2026-03-25,EAST_INLAND,residential,SUB-027,false
M-00643,188,2026-03-30,EAST,industrial,SUB-028,false
M-00644,1138,2026-03-30,SOUTH,residential,SUB-032,false
M-00645,1141,2026-03-30,WEST,commercial,SUB-027,false
M-00646,2258,2026-03-26,WEST_INLAND,commercial,SUB-040,false
M-00647,2805,2026-03-29,NORTH_COAST,commercial,SUB-009,false
