meter_id,daily_kw,date,region,customer_type,substation_id
M-00001,1715.3,2026-03-10,WEST,residential,SUB-027
M-00002,2066.1,2026-03-12,NORTH_COAST,commercial,SUB-011
M-00003,1428.8,2026-03-13,NORTH_COAST,residential,SUB-030
M-00004,2858.2,2026-03-14,SOUTH_INLAND,commercial,SUB-010
M-00005,3955.3,2026-03-11,SOUTH_COAST,industrial,SUB-014
M-00006,782.2,2026-03-12,EAST_COAST,residential,SUB-021
M-00007,4028.0,2026-03-15,SOUTH_COAST,residential,SUB-034
M-00008,3437.6,2026-03-14,NORTH,commercial,SUB-009
M-00009,2415.2,2026-03-13,EAST_COAST,residential,SUB-034
M-00010,344.2,2026-03-13,SOUTH_INLAND,residential,SUB-030
M-00011,1265.9,2026-03-10,EAST_COAST,commercial,SUB-010
M-00012,3750.8,2026-03-13,EAST_INLAND,commercial,SUB-026
M-00013,1707.5,2026-03-16,SOUTH_INLAND,commercial,SUB-002
M-00014,3717.2,2026-03-16,SOUTH_COAST,residential,SUB-005
M-00015,3595.5,2026-03-11,EAST_INLAND,industrial,SUB-029
M-00016,3074.9,2026-03-14,NORTH,residential,SUB-037
M-00017,2374.3,2026-03-12,SOUTH_INLAND,residential,SUB-028
M-00018,4189.6,2026-03-15,NORTH_COAST,residential,SUB-034
M-00019,1154.2,2026-03-13,SOUTH_COAST,commercial,SUB-012
M-00020,2306.9,2026-03-11,NORTH_INLAND,commercial,SUB-025
M-00021,2383.8,2026-03-11,EAST_COAST,residential,SUB-014
M-00022,536.4,2026-03-13,EAST_COAST,industrial,SUB-019
M-00023,884.9,2026-03-15,EAST,residential,SUB-029
M-00024,3943.0,2026-03-15,SOUTH,residential,SUB-023
M-00025,3176.5,2026-03-15,SOUTH_COAST,commercial,SUB-026
M-00026,155.5,2026-03-15,EAST_COAST,commercial,SUB-017
M-00027,610.7,2026-03-15,WEST_INLAND,commercial,SUB-001
M-00028,3761.1,2026-03-14,WEST,industrial,SUB-001
M-00029,834.2,2026-03-12,NORTH_COAST,commercial,SUB-038
M-00030,1541.8,2026-03-14,EAST_COAST,residential,SUB-035
M-00031,1557.3,2026-03-15,SOUTH_INLAND,residential,SUB-033
M-00032,297.0,2026-03-12,NORTH_INLAND,residential,SUB-002
M-00033,3592.9,2026-03-11,SOUTH_INLAND,commercial,SUB-030
M-00034,1550.7,2026-03-14,SOUTH_COAST,residential,SUB-011
M-00035,2723.6,2026-03-14,NORTH_COAST,commercial,SUB-013
M-00036,350.4,2026-03-14,EAST_INLAND,residential,SUB-008
M-00037,3376.2,2026-03-10,EAST,residential,SUB-036
M-00038,2186.4,2026-03-14,EAST,residential,SUB-035
M-00039,404.2,2026-03-11,WEST,residential,SUB-039
M-00040,3663.5,2026-03-11,SOUTH_INLAND,residential,SUB-001
M-00041,3657.4,2026-03-12,EAST,residential,SUB-030
M-00042,3501.3,2026-03-11,EAST_INLAND,industrial,SUB-022
M-00043,1062.9,2026-03-10,WEST,commercial,SUB-016
M-00044,1054.8,2026-03-10,EAST_INLAND,residential,SUB-022
M-00045,3413.2,2026-03-13,EAST_COAST,residential,SUB-024
M-00046,1254.0,2026-03-10,EAST_INLAND,commercial,SUB-034
M-00047,2948.6,2026-03-13,SOUTH_INLAND,residential,SUB-040
M-00048,3233.7,2026-03-10,NORTH_COAST,residential,SUB-009
M-00049,2470.4,2026-03-16,WEST_COAST,commercial,SUB-026
M-00050,1046.0,2026-03-14,WEST,commercial,SUB-003
M-00051,4001.2,2026-03-11,NORTH_COAST,commercial,SUB-026
M-00052,1676.0,2026-03-10,SOUTH_INLAND,residential,SUB-040
M-00053,2950.7,2026-03-15,NORTH_COAST,residential,SUB-027
M-00054,3655.9,2026-03-14,NORTH_COAST,industrial,SUB-029
M-00055,1070.0,2026-03-16,WEST,residential,SUB-013
M-00056,2256.6,2026-03-14,SOUTH,commercial,SUB-039
M-00057,3003.7,2026-03-13,SOUTH,residential,SUB-021
M-00058,1157.6,2026-03-12,WEST_INLAND,residential,SUB-025
M-00059,3745.2,2026-03-11,WEST_COAST,residential,SUB-035
M-00060,3825.2,2026-03-13,NORTH_COAST,industrial,SUB-027
M-00061,2110.9,2026-03-14,EAST_INLAND,commercial,SUB-008
M-00062,3739.0,2026-03-12,WEST_INLAND,commercial,SUB-015
M-00063,2816.0,2026-03-13,SOUTH_INLAND,residential,SUB-031
M-00064,1123.4,2026-03-12,SOUTH,industrial,SUB-034
M-00065,1308.8,2026-03-15,EAST_INLAND,residential,SUB-013
M-00066,3571.8,2026-03-14,WEST,commercial,SUB-036
M-00067,1896.3,2026-03-16,SOUTH_COAST,commercial,SUB-039
M-00068,2423.2,2026-03-13,EAST,industrial,SUB-013
M-00069,4130.7,2026-03-10,WEST,residential,SUB-014
M-00070,1831.8,2026-03-15,WEST_INLAND,commercial,SUB-009
M-00071,2939.6,2026-03-13,WEST_INLAND,residential,SUB-013
M-00072,810.3,2026-03-14,SOUTH,residential,SUB-031
M-00073,3624.0,2026-03-13,WEST_INLAND,residential,SUB-014
M-00074,1232.0,2026-03-14,WEST_INLAND,industrial,SUB-025
M-00075,1734.9,2026-03-11,SOUTH_INLAND,commercial,SUB-029
M-00076,3080.0,2026-03-10,NORTH_INLAND,industrial,SUB-031
M-00077,3867.9,2026-03-16,SOUTH_COAST,residential,SUB-037
M-00078,3891.1,2026-03-11,WEST_COAST,residential,SUB-022
M-00079,2218.8,2026-03-14,NORTH_COAST,commercial,SUB-033
M-00080,2608.4,2026-03-16,SOUTH_INLAND,commercial,SUB-016
M-00081,2526.2,2026-03-11,WEST,industrial,SUB-034
M-00082,2323.8,2026-03-12,SOUTH_COAST,commercial,SUB-032
M-00083,3415.7,2026-03-10,NORTH_INLAND,residential,SUB-012
M-00084,4060.8,2026-03-14,NORTH_COAST,commercial,SUB-019
M-00085,266.2,2026-03-16,SOUTH,residential,SUB-019
M-00086,3821.9,2026-03-15,SOUTH,industrial,SUB-037
M-00087,2507.4,2026-03-14,NORTH_COAST,residential,SUB-020
M-00088,1908.4,2026-03-16,WEST_INLAND,commercial,SUB-002
M-00089,2482.9,2026-03-15,EAST,residential,SUB-027
M-00090,1976.3,2026-03-14,EAST_COAST,commercial,SUB-039
M-00091,3264.4,2026-03-11,EAST,residential,SUB-024
M-00092,382.6,2026-03-14,EAST,commercial,SUB-012
M-00093,1278.9,2026-03-14,SOUTH_COAST,commercial,SUB-016
M-00094,2189.9,2026-03-14,EAST,residential,SUB-011
M-00095,3098.0,2026-03-10,SOUTH_COAST,residential,SUB-037
M-00096,2476.1,2026-03-14,EAST,commercial,SUB-008
M-00097,1082.1,2026-03-12,EAST_COAST,residential,SUB-038
M-00098,737.1,2026-03-12,WEST_INLAND,commercial,SUB-037
M-00099,2853.3,2026-03-14,WEST,residential,SUB-023
M-00100,1771.7,2026-03-16,NORTH_COAST,residential,SUB-010
M-00101,549.6,2026-03-16,NORTH_INLAND,industrial,SUB-013
M-00102,3377.4,2026-03-11,WEST_INLAND,residential,SUB-022
M-00103,3931.1,2026-03-15,EAST,industrial,SUB-039
M-00104,1250.1,2026-03-16,NORTH,residential,SUB-024
M-00105,3975.1,2026-03-11,WEST,commercial,SUB-009
M-00106,2236.6,2026-03-10,EAST,industrial,SUB-014
M-00107,2012.3,2026-03-11,NORTH_COAST,industrial,SUB-023
M-00108,128.1,2026-03-12,EAST_INLAND,residential,SUB-001
M-00109,3947.7,2026-03-12,EAST_INLAND,commercial,SUB-011
M-00110,2285.8,2026-03-12,EAST,residential,SUB-010
M-00111,2202.2,2026-03-14,SOUTH_INLAND,residential,SUB-018
M-00112,1742.1,2026-03-10,EAST_INLAND,residential,SUB-024
M-00113,2924.5,2026-03-15,SOUTH,residential,SUB-033
M-00114,2071.5,2026-03-12,EAST,residential,SUB-026
M-00115,3366.7,2026-03-13,EAST,commercial,SUB-026
M-00116,3452.0,2026-03-11,EAST,industrial,SUB-015
M-00117,1744.9,2026-03-10,WEST_INLAND,residential,SUB-018
M-00118,1066.5,2026-03-11,EAST_INLAND,residential,SUB-012
M-00119,2178.1,2026-03-16,SOUTH,residential,SUB-025
M-00120,1575.9,2026-03-10,NORTH_COAST,industrial,SUB-008
M-00121,2324.7,2026-03-14,WEST,residential,SUB-013
M-00122,2753.9,2026-03-16,NORTH_COAST,commercial,SUB-027
M-00123,3259.8,2026-03-14,NORTH,industrial,SUB-040
M-00124,2444.8,2026-03-10,WEST_INLAND,residential,SUB-015
M-00125,2355.8,2026-03-14,EAST_INLAND,industrial,SUB-010
M-00126,2240.0,2026-03-12,WEST_COAST,commercial,SUB-031
