meter_id,customer_type,effective_from,effective_to,is_current
M-00001,commercial,2024-01-01,9999-12-31,true
M-00002,commercial,2024-01-01,9999-12-31,true
M-00003,industrial,2024-01-01,9999-12-31,true
M-00004,industrial,2024-01-01,9999-12-31,true
M-00005,commercial,2024-01-01,9999-12-31,true
M-00006,commercial,2024-01-01,9999-12-31,true
M-00007,commercial,2024-01-01,9999-12-31,true
M-00008,residential,2024-01-01,9999-12-31,true
M-00009,commercial,2024-01-01,9999-12-31,true
M-00010,industrial,2024-01-01,9999-12-31,true
M-00011,industrial,2024-01-01,9999-12-31,true
M-00012,commercial,2024-01-01,9999-12-31,true
M-00013,commercial,2024-01-01,9999-12-31,true
M-00014,commercial,2024-01-01,9999-12-31,true
M-00015,commercial,2024-01-01,9999-12-31,true
M-00016,industrial,2024-01-01,9999-12-31,true
M-00017,industrial,2024-01-01,9999-12-31,true
M-00018,industrial,2024-01-01,9999-12-31,true
M-00019,residential,2024-01-01,9999-12-31,true
M-00020,commercial,2024-01-01,9999-12-31,true
M-00021,industrial,2024-01-01,9999-12-31,true
M-00022,industrial,2024-01-01,9999-12-31,true
M-00023,commercial,2024-01-01,9999-12-31,true
M-00024,commercial,2024-01-01,9999-12-31,true
M-00025,residential,2024-01-01,9999-12-31,true
M-00026,industrial,2024-01-01,9999-12-31,true
M-00027,commercial,2024-01-01,9999-12-31,true
M-00028,commercial,2024-01-01,9999-12-31,true
M-00029,commercial,2024-01-01,9999-12-31,true
M-00030,industrial,2024-01-01,9999-12-31,true
M-00031,industrial,2024-01-01,9999-12-31,true
M-00032,commercial,2024-01-01,9999-12-31,true
M-00033,residential,2024-01-01,9999-12-31,true
M-00034,commercial,2024-01-01,9999-12-31,true
M-00035,commercial,2024-01-01,9999-12-31,true
M-00036,residential,2024-01-01,9999-12-31,true
M-00037,commercial,2024-01-01,9999-12-31,true
M-00038,industrial,2024-01-01,9999-12-31,true
M-00039,residential,2024-01-01,9999-12-31,true
M-00040,commercial,2024-01-01,9999-12-31,true
M-00041,commercial,2024-01-01,9999-12-31,true
M-00042,residential,2024-01-01,9999-12-31,true
M-00043,industrial,2024-01-01,9999-12-31,true
M-00044,commercial,2024-01-01,9999-12-31,true
M-00045,residential,2024-01-01,9999-12-31,true
M-00046,residential,2024-01-01,9999-12-31,true
M-00047,commercial,2024-01-01,9999-12-31,true
M-00048,industrial,2024-01-01,9999-12-31,true
M-00049,residential,2024-01-01,9999-12-31,true
M-00050,residential,2024-01-01,9999-12-31,true
M-00051,industrial,2024-01-01,9999-12-31,true
M-00052,residential,2024-01-01,9999-12-31,true
M-00053,industrial,2024-01-01,9999-12-31,true
M-00054,commercial,2024-01-01,9999-12-31,true
M-00055,commercial,2024-01-01,9999-12-31,true
M-00056,commercial,2024-01-01,9999-12-31,true
M-00057,residential,2024-01-01,9999-12-31,true
M-00058,residential,2024-01-01,9999-12-31,true
M-00059,commercial,2024-01-01,9999-12-31,true
M-00060,industrial,2024-01-01,9999-12-31,true
M-00061,commercial,2024-01-01,9999-12-31,true
M-00062,residential,2024-01-01,9999-12-31,true
M-00063,commercial,2024-01-01,9999-12-31,true
M-00064,commercial,2024-01-01,9999-12-31,true
M-00065,residential,2024-01-01,9999-12-31,true
M-00066,commercial,2024-01-01,9999-12-31,true
M-00067,residential,2024-01-01,9999-12-31,true
M-00068,residential,2024-01-01,9999-12-31,true
M-00069,residential,2024-01-01,9999-12-31,true
M-00070,residential,2024-01-01,9999-12-31,true
M-00071,commercial,2024-01-01,9999-12-31,true
M-00072,commercial,2024-01-01,9999-12-31,true
M-00073,residential,2024-01-01,9999-12-31,true
M-00074,residential,2024-01-01,9999-12-31,true
M-00075,industrial,2024-01-01,9999-12-31,true
M-00076,commercial,2024-01-01,9999-12-31,true
M-00077,residential,2024-01-01,9999-12-31,true
M-00078,residential,2024-01-01,9999-12-31,true
M-00079,residential,2024-01-01,9999-12-31,true
M-00080,commercial,2024-01-01,9999-12-31,true
M-00081,residential,2024-01-01,2026-02-28,false
M-00081,commercial,2026-03-01,9999-12-31,true
M-00082,residential,2024-01-01,2026-02-28,false
M-00082,commercial,2026-03-01,9999-12-31,true
M-00083,residential,2024-01-01,2026-02-28,false
M-00083,commercial,2026-03-01,9999-12-31,true
M-00084,residential,2024-01-01,2026-02-28,false
M-00084,commercial,2026-03-01,9999-12-31,true
M-00085,residential,2024-01-01,2026-02-28,false
M-00085,commercial,2026-03-01,9999-12-31,true
M-00086,residential,2024-01-01,2026-02-28,false
M-00086,commercial,2026-03-01,9999-12-31,true
M-00087,residential,2024-01-01,2026-02-28,false
M-00087,commercial,2026-03-01,9999-12-31,true
M-00088,residential,2024-01-01,2026-02-28,false
M-00088,commercial,2026-03-01,9999-12-31,true
M-00089,residential,2024-01-01,2026-02-28,false
M-00089,commercial,2026-03-01,9999-12-31,true
M-00090,residential,2024-01-01,2026-02-28,false
M-00090,commercial,2026-03-01,9999-12-31,true
M-00091,residential,2024-01-01,2026-02-28,false
M-00091,commercial,2026-03-01,9999-12-31,true
M-00092,residential,2024-01-01,2026-02-28,false
M-00092,commercial,2026-03-01,9999-12-31,true
M-00093,residential,2024-01-01,2026-02-28,false
M-00093,commercial,2026-03-01,9999-12-31,true
M-00094,residential,2024-01-01,2026-02-28,false
M-00094,commercial,2026-03-01,9999-12-31,true
M-00095,residential,2024-01-01,2026-02-28,false
M-00095,commercial,2026-03-01,9999-12-31,true
M-00096,residential,2024-01-01,2026-02-28,false
M-00096,commercial,2026-03-01,9999-12-31,true
M-00097,residential,2024-01-01,2026-02-28,false
M-00097,commercial,2026-03-01,9999-12-31,true
M-00098,residential,2024-01-01,2026-02-28,false
M-00098,commercial,2026-03-01,9999-12-31,true
M-00099,residential,2024-01-01,2026-02-28,false
M-00099,commercial,2026-03-01,9999-12-31,true
M-00100,residential,2024-01-01,2026-02-28,false
M-00100,commercial,2026-03-01,9999-12-31,true
