meter_id,daily_kw,date,region,customer_type,substation_id
M-00001,2191.2,2026-03-10,EAST,commercial,SUB-007
M-00001,2037.9,2026-03-11,EAST,commercial,SUB-007
M-00001,3331.9,2026-03-12,EAST,commercial,SUB-007
M-00001,977.5,2026-03-13,EAST,commercial,SUB-007
M-00002,867.8,2026-03-10,EAST_INLAND,residential,SUB-007
M-00002,3347.2,2026-03-11,EAST_INLAND,residential,SUB-007
M-00002,594.1,2026-03-12,EAST_INLAND,residential,SUB-007
M-00002,2545.8,2026-03-13,EAST_INLAND,residential,SUB-007
M-00003,2939.9,2026-03-10,SOUTH,industrial,SUB-021
M-00003,3586.6,2026-03-11,SOUTH,industrial,SUB-021
M-00003,2085.5,2026-03-12,SOUTH,industrial,SUB-021
M-00003,1361.9,2026-03-13,SOUTH,industrial,SUB-021
M-00004,505.8,2026-03-10,SOUTH_COAST,commercial,SUB-006
M-00004,2462.0,2026-03-11,SOUTH_COAST,commercial,SUB-006
M-00004,3402.7,2026-03-12,SOUTH_COAST,commercial,SUB-006
M-00004,1288.9,2026-03-13,SOUTH_COAST,commercial,SUB-006
M-00005,3981.5,2026-03-10,WEST_COAST,industrial,SUB-009
M-00005,2197.6,2026-03-11,WEST_COAST,industrial,SUB-009
M-00005,1521.6,2026-03-12,WEST_COAST,industrial,SUB-009
M-00005,1963.3,2026-03-13,WEST_COAST,industrial,SUB-009
M-00006,3300.4,2026-03-10,WEST_INLAND,commercial,SUB-020
M-00006,3454.2,2026-03-11,WEST_INLAND,commercial,SUB-020
M-00006,382.5,2026-03-12,WEST_INLAND,commercial,SUB-020
M-00006,499.9,2026-03-13,WEST_INLAND,commercial,SUB-020
M-00007,2719.5,2026-03-10,WEST,residential,SUB-033
M-00007,1521.2,2026-03-11,WEST,residential,SUB-033
M-00007,1767.7,2026-03-12,WEST,residential,SUB-033
M-00007,2690.1,2026-03-13,WEST,residential,SUB-033
M-00008,3765.7,2026-03-10,NORTH,industrial,SUB-007
M-00008,3898.8,2026-03-11,NORTH,industrial,SUB-007
M-00008,2241.5,2026-03-12,NORTH,industrial,SUB-007
M-00008,2911.5,2026-03-13,NORTH,industrial,SUB-007
M-00009,2049.2,2026-03-10,SOUTH_COAST,residential,SUB-015
M-00009,3115.1,2026-03-11,SOUTH_COAST,residential,SUB-015
M-00009,3370.4,2026-03-12,SOUTH_COAST,residential,SUB-015
M-00009,2922.7,2026-03-13,SOUTH_COAST,residential,SUB-015
M-00010,1925.1,2026-03-10,WEST,residential,SUB-032
M-00010,373.4,2026-03-11,WEST,residential,SUB-032
M-00010,424.3,2026-03-12,WEST,residential,SUB-032
M-00010,1895.7,2026-03-13,WEST,residential,SUB-032
M-00011,2946.1,2026-03-10,EAST_COAST,commercial,SUB-027
M-00011,1294.3,2026-03-11,EAST_COAST,commercial,SUB-027
M-00011,1262.2,2026-03-12,EAST_COAST,commercial,SUB-027
M-00011,2313.9,2026-03-13,EAST_COAST,commercial,SUB-027
M-00012,986.6,2026-03-10,WEST_INLAND,residential,SUB-021
M-00012,767.4,2026-03-11,WEST_INLAND,residential,SUB-021
M-00012,3936.0,2026-03-12,WEST_INLAND,residential,SUB-021
M-00012,3348.8,2026-03-13,WEST_INLAND,residential,SUB-021
M-00013,2720.3,2026-03-10,NORTH_INLAND,residential,SUB-035
M-00013,2945.6,2026-03-11,NORTH_INLAND,residential,SUB-035
M-00013,872.3,2026-03-12,NORTH_INLAND,residential,SUB-035
M-00013,1131.5,2026-03-13,NORTH_INLAND,residential,SUB-035
M-00014,241.9,2026-03-10,EAST_INLAND,commercial,SUB-026
M-00014,1905.3,2026-03-11,EAST_INLAND,commercial,SUB-026
M-00014,407.6,2026-03-12,EAST_INLAND,commercial,SUB-026
M-00014,421.4,2026-03-13,EAST_INLAND,commercial,SUB-026
M-00015,2530.0,2026-03-10,NORTH_INLAND,residential,SUB-005
M-00015,1047.5,2026-03-11,NORTH_INLAND,residential,SUB-005
M-00015,2238.6,2026-03-12,NORTH_INLAND,residential,SUB-005
M-00015,1540.7,2026-03-13,NORTH_INLAND,residential,SUB-005
M-00016,3976.0,2026-03-10,WEST_COAST,commercial,SUB-031
M-00016,1022.6,2026-03-11,WEST_COAST,commercial,SUB-031
M-00016,1601.9,2026-03-12,WEST_COAST,commercial,SUB-031
M-00016,1568.4,2026-03-13,WEST_COAST,commercial,SUB-031
M-00017,3038.3,2026-03-10,NORTH_INLAND,industrial,SUB-033
M-00017,785.8,2026-03-11,NORTH_INLAND,industrial,SUB-033
M-00017,3060.3,2026-03-12,NORTH_INLAND,industrial,SUB-033
M-00017,2223.6,2026-03-13,NORTH_INLAND,industrial,SUB-033
M-00018,382.0,2026-03-10,SOUTH,commercial,SUB-010
M-00018,3603.5,2026-03-11,SOUTH,commercial,SUB-010
M-00018,2559.1,2026-03-12,SOUTH,commercial,SUB-010
M-00018,2871.2,2026-03-13,SOUTH,commercial,SUB-010
M-00019,1205.7,2026-03-10,EAST,industrial,SUB-022
M-00019,3879.9,2026-03-11,EAST,industrial,SUB-022
M-00019,365.5,2026-03-12,EAST,industrial,SUB-022
M-00019,2391.7,2026-03-13,EAST,industrial,SUB-022
M-00020,907.2,2026-03-10,NORTH_INLAND,commercial,SUB-039
M-00020,1973.1,2026-03-11,NORTH_INLAND,commercial,SUB-039
M-00020,397.0,2026-03-12,NORTH_INLAND,commercial,SUB-039
M-00020,508.1,2026-03-13,NORTH_INLAND,commercial,SUB-039
M-00021,796.0,2026-03-10,NORTH_COAST,industrial,SUB-030
M-00021,3761.5,2026-03-11,NORTH_COAST,industrial,SUB-030
M-00021,2543.1,2026-03-12,NORTH_COAST,industrial,SUB-030
M-00021,3429.7,2026-03-13,NORTH_COAST,industrial,SUB-030
M-00022,657.1,2026-03-10,NORTH_COAST,residential,SUB-011
M-00022,1226.8,2026-03-11,NORTH_COAST,residential,SUB-011
M-00022,1026.6,2026-03-12,NORTH_COAST,residential,SUB-011
M-00022,1861.8,2026-03-13,NORTH_COAST,residential,SUB-011
M-00023,2140.1,2026-03-10,SOUTH_INLAND,industrial,SUB-012
M-00023,3490.3,2026-03-11,SOUTH_INLAND,industrial,SUB-012
M-00023,2343.7,2026-03-12,SOUTH_INLAND,industrial,SUB-012
M-00023,2270.4,2026-03-13,SOUTH_INLAND,industrial,SUB-012
M-00024,3787.8,2026-03-10,EAST_INLAND,residential,SUB-004
M-00024,3530.6,2026-03-11,EAST_INLAND,residential,SUB-004
M-00024,326.2,2026-03-12,EAST_INLAND,residential,SUB-004
M-00024,258.2,2026-03-13,EAST_INLAND,residential,SUB-004
M-00025,2648.1,2026-03-10,SOUTH_INLAND,commercial,SUB-035
M-00025,1397.6,2026-03-11,SOUTH_INLAND,commercial,SUB-035
M-00025,2929.2,2026-03-12,SOUTH_INLAND,commercial,SUB-035
M-00025,2079.4,2026-03-13,SOUTH_INLAND,commercial,SUB-035
M-00026,3740.2,2026-03-10,SOUTH_INLAND,residential,SUB-016
M-00026,3600.8,2026-03-11,SOUTH_INLAND,residential,SUB-016
M-00026,1201.4,2026-03-12,SOUTH_INLAND,residential,SUB-016
M-00026,2680.2,2026-03-13,SOUTH_INLAND,residential,SUB-016
M-00027,992.8,2026-03-10,WEST_COAST,commercial,SUB-031
M-00027,3216.6,2026-03-11,WEST_COAST,commercial,SUB-031
M-00027,704.9,2026-03-12,WEST_COAST,commercial,SUB-031
M-00027,2155.2,2026-03-13,WEST_COAST,commercial,SUB-031
M-00028,2398.8,2026-03-10,NORTH,industrial,SUB-035
M-00028,1940.4,2026-03-11,NORTH,industrial,SUB-035
M-00028,3442.5,2026-03-12,NORTH,industrial,SUB-035
M-00028,2980.3,2026-03-13,NORTH,industrial,SUB-035
M-00029,1643.7,2026-03-10,WEST_INLAND,residential,SUB-006
M-00029,966.2,2026-03-11,WEST_INLAND,residential,SUB-006
M-00029,3853.4,2026-03-12,WEST_INLAND,residential,SUB-006
M-00029,2275.3,2026-03-13,WEST_INLAND,residential,SUB-006
M-00030,2484.7,2026-03-10,NORTH_COAST,commercial,SUB-002
M-00030,3177.1,2026-03-11,NORTH_COAST,commercial,SUB-002
M-00030,555.4,2026-03-12,NORTH_COAST,commercial,SUB-002
M-00030,1479.1,2026-03-13,NORTH_COAST,commercial,SUB-002
M-00031,1052.3,2026-03-10,EAST_INLAND,commercial,SUB-013
M-00031,3973.7,2026-03-11,EAST_INLAND,commercial,SUB-013
M-00031,3737.5,2026-03-12,EAST_INLAND,commercial,SUB-013
M-00031,3327.6,2026-03-13,EAST_INLAND,commercial,SUB-013
M-00032,311.0,2026-03-10,NORTH,residential,SUB-006
M-00032,703.3,2026-03-11,NORTH,residential,SUB-006
M-00032,2312.7,2026-03-12,NORTH,residential,SUB-006
M-00032,212.6,2026-03-13,NORTH,residential,SUB-006
M-00033,983.8,2026-03-10,WEST_INLAND,commercial,SUB-003
M-00033,1155.9,2026-03-11,WEST_INLAND,commercial,SUB-003
M-00033,709.9,2026-03-12,WEST_INLAND,commercial,SUB-003
M-00033,1777.5,2026-03-13,WEST_INLAND,commercial,SUB-003
M-00034,2652.4,2026-03-10,NORTH,industrial,SUB-025
M-00034,1862.9,2026-03-11,NORTH,industrial,SUB-025
M-00034,2464.7,2026-03-12,NORTH,industrial,SUB-025
M-00034,3224.7,2026-03-13,NORTH,industrial,SUB-025
M-00035,1460.5,2026-03-10,NORTH_COAST,industrial,SUB-009
M-00035,2028.3,2026-03-11,NORTH_COAST,industrial,SUB-009
M-00035,3055.3,2026-03-12,NORTH_COAST,industrial,SUB-009
M-00035,453.6,2026-03-13,NORTH_COAST,industrial,SUB-009
M-00036,2579.7,2026-03-10,NORTH,industrial,SUB-027
M-00036,1876.5,2026-03-11,NORTH,industrial,SUB-027
M-00036,1528.0,2026-03-12,NORTH,industrial,SUB-027
M-00036,3363.1,2026-03-13,NORTH,industrial,SUB-027
M-00037,2008.3,2026-03-10,SOUTH_INLAND,residential,SUB-031
M-00037,2171.4,2026-03-11,SOUTH_INLAND,residential,SUB-031
M-00037,3498.1,2026-03-12,SOUTH_INLAND,residential,SUB-031
M-00037,130.0,2026-03-13,SOUTH_INLAND,residential,SUB-031
M-00038,2045.6,2026-03-10,SOUTH_INLAND,residential,SUB-018
M-00038,3941.9,2026-03-11,SOUTH_INLAND,residential,SUB-018
M-00038,2786.7,2026-03-12,SOUTH_INLAND,residential,SUB-018
M-00038,1182.4,2026-03-13,SOUTH_INLAND,residential,SUB-018
M-00039,1392.9,2026-03-10,EAST_COAST,commercial,SUB-020
M-00039,2855.9,2026-03-11,EAST_COAST,commercial,SUB-020
M-00039,843.2,2026-03-12,EAST_COAST,commercial,SUB-020
M-00039,373.9,2026-03-13,EAST_COAST,commercial,SUB-020
M-00040,1799.9,2026-03-10,EAST_INLAND,industrial,SUB-017
M-00040,294.4,2026-03-11,EAST_INLAND,industrial,SUB-017
M-00040,3518.2,2026-03-12,EAST_INLAND,industrial,SUB-017
M-00040,2121.8,2026-03-13,EAST_INLAND,industrial,SUB-017
M-00041,3106.7,2026-03-10,WEST,residential,SUB-015
M-00041,330.8,2026-03-11,WEST,residential,SUB-015
M-00041,1121.8,2026-03-12,WEST,residential,SUB-015
M-00041,966.8,2026-03-13,WEST,residential,SUB-015
M-00042,2485.5,2026-03-10,WEST_INLAND,industrial,SUB-038
M-00042,3544.3,2026-03-11,WEST_INLAND,industrial,SUB-038
M-00042,3363.1,2026-03-12,WEST_INLAND,industrial,SUB-038
M-00042,3506.2,2026-03-13,WEST_INLAND,industrial,SUB-038
M-00043,770.2,2026-03-10,WEST_INLAND,industrial,SUB-008
M-00043,1275.9,2026-03-11,WEST_INLAND,industrial,SUB-008
M-00043,497.2,2026-03-12,WEST_INLAND,industrial,SUB-008
M-00043,568.2,2026-03-13,WEST_INLAND,industrial,SUB-008
M-00044,836.6,2026-03-10,NORTH_COAST,residential,SUB-009
M-00044,1661.8,2026-03-11,NORTH_COAST,residential,SUB-009
M-00044,1410.4,2026-03-12,NORTH_COAST,residential,SUB-009
M-00044,3557.8,2026-03-13,NORTH_COAST,residential,SUB-009
M-00045,1477.8,2026-03-10,WEST_COAST,industrial,SUB-022
M-00045,2105.0,2026-03-11,WEST_COAST,industrial,SUB-022
M-00045,3550.8,2026-03-12,WEST_COAST,industrial,SUB-022
M-00045,1329.9,2026-03-13,WEST_COAST,industrial,SUB-022
M-00046,1719.7,2026-03-10,NORTH,commercial,SUB-040
M-00046,2375.7,2026-03-11,NORTH,commercial,SUB-040
M-00046,3962.7,2026-03-12,NORTH,commercial,SUB-040
M-00046,3471.9,2026-03-13,NORTH,commercial,SUB-040
M-00047,3082.3,2026-03-10,SOUTH_INLAND,industrial,SUB-029
M-00047,943.6,2026-03-11,SOUTH_INLAND,industrial,SUB-029
M-00047,2769.2,2026-03-12,SOUTH_INLAND,industrial,SUB-029
M-00047,2848.3,2026-03-13,SOUTH_INLAND,industrial,SUB-029
M-00048,3997.2,2026-03-10,EAST,commercial,SUB-006
M-00048,2995.9,2026-03-11,EAST,commercial,SUB-006
M-00048,430.1,2026-03-12,EAST,commercial,SUB-006
M-00048,374.9,2026-03-13,EAST,commercial,SUB-006
M-00049,2950.5,2026-03-10,EAST_INLAND,commercial,SUB-020
M-00049,338.2,2026-03-11,EAST_INLAND,commercial,SUB-020
M-00049,3117.0,2026-03-12,EAST_INLAND,commercial,SUB-020
M-00049,826.9,2026-03-13,EAST_INLAND,commercial,SUB-020
M-00050,3281.9,2026-03-10,EAST_INLAND,residential,SUB-017
M-00050,835.2,2026-03-11,EAST_INLAND,residential,SUB-017
M-00050,459.0,2026-03-12,EAST_INLAND,residential,SUB-017
M-00050,3486.9,2026-03-13,EAST_INLAND,residential,SUB-017
M-00051,1723.3,2026-03-10,NORTH_COAST,residential,SUB-016
M-00051,3401.1,2026-03-11,NORTH_COAST,residential,SUB-016
M-00051,1159.4,2026-03-12,NORTH_COAST,residential,SUB-016
