meter_id,customer_type
M-00032,industrial
M-00001,commercial
M-00018,industrial
M-00278,residential
M-00066,residential
M-00175,industrial
M-00245,residential
M-00010,industrial
M-00169,industrial
M-00072,industrial
M-00082,commercial
M-00011,industrial
M-00258,industrial
M-00049,commercial
M-00040,residential
M-00227,industrial
M-00277,commercial
M-00076,industrial
M-00045,commercial
M-00047,residential
M-00231,industrial
M-00034,commercial
M-00141,commercial
M-00602,residential
M-00225,commercial
M-00050,industrial
M-00002,commercial
M-00221,residential
M-00185,industrial
M-00104,residential
M-00120,commercial
M-00106,commercial
M-00182,industrial
M-00054,residential
M-00160,industrial
M-00129,commercial
M-00100,commercial
M-00119,commercial
M-00004,residential
M-00241,commercial
M-00007,commercial
M-00251,residential
M-00098,industrial
M-00181,commercial
M-00112,residential
M-00226,commercial
M-00113,industrial
M-00260,commercial
M-00240,commercial
M-00005,commercial
M-00210,industrial
M-00140,residential
M-00271,residential
M-00239,industrial
M-00198,industrial
M-00013,industrial
M-00242,commercial
M-00222,residential
M-00060,commercial
M-00027,commercial
M-00125,commercial
M-00159,industrial
M-00105,residential
M-00263,residential
M-00116,residential
M-00259,commercial
M-00044,commercial
M-00068,residential
M-00172,industrial
M-00056,commercial
M-00022,commercial
M-00074,commercial
M-00021,industrial
M-00118,industrial
M-00261,industrial
M-00148,commercial
M-00246,residential
M-00059,residential
M-00035,commercial
M-00144,commercial
M-00010,commercial
M-00012,commercial
M-00015,commercial
M-00157,commercial
M-00244,industrial
M-00024,commercial
M-00205,commercial
M-00200,industrial
M-00266,residential
M-00262,residential
M-00238,industrial
M-00223,commercial
M-00603,commercial
M-00608,commercial
M-00048,residential
M-00070,commercial
M-00108,industrial
M-00254,commercial
M-00036,residential
M-00178,residential
M-00201,commercial
M-00008,residential
M-00033,residential
M-00099,residential
M-00151,residential
M-00220,industrial
M-00173,residential
M-00038,industrial
M-00064,commercial
M-00142,industrial
M-00207,commercial
M-00267,industrial
M-00158,industrial
M-00194,residential
M-00058,industrial
M-00193,residential
M-00073,residential
M-00234,industrial
M-00224,commercial
M-00217,commercial
M-00199,residential
M-00114,residential
M-00174,commercial
M-00078,industrial
M-00161,residential
M-00109,industrial
M-00255,commercial
M-00248,residential
M-00270,residential
M-00265,residential
M-00166,commercial
M-00014,residential
M-00091,commercial
M-00269,commercial
M-00188,industrial
M-00052,commercial
M-00086,commercial
M-00609,commercial
M-00195,industrial
M-00088,residential
M-00190,commercial
M-00127,residential
M-00273,residential
M-00083,commercial
M-00280,residential
M-00147,residential
M-00053,residential
M-00230,commercial
M-00191,commercial
M-00069,industrial
M-00006,commercial
M-00177,commercial
M-00041,residential
M-00179,industrial
M-00211,commercial
M-00039,commercial
M-00051,industrial
M-00080,commercial
M-00149,industrial
M-00192,commercial
M-00228,commercial
M-00008,commercial
M-00209,residential
M-00063,residential
M-00272,commercial
M-00092,industrial
M-00183,commercial
M-00219,residential
M-00229,commercial
M-00103,commercial
M-00204,residential
M-00168,industrial
M-00279,residential
M-00214,commercial
M-00165,commercial
M-00607,industrial
M-00237,commercial
M-00123,commercial
M-00087,industrial
M-00604,industrial
M-00002,residential
M-00156,residential
M-00003,industrial
M-00252,residential
M-00001,commercial
M-00037,residential
M-00097,residential
M-00017,industrial
M-00138,residential
M-00186,industrial
M-00117,commercial
M-00215,residential
M-00096,industrial
M-00026,residential
M-00146,commercial
M-00213,residential
M-00081,industrial
M-00268,residential
M-00264,residential
M-00007,commercial
M-00089,commercial
M-00057,industrial
M-00233,residential
M-00601,commercial
M-00043,industrial
M-00170,residential
M-00079,residential
M-00128,residential
M-00095,industrial
M-00122,commercial
M-00111,commercial
M-00115,residential
M-00180,commercial
M-00020,residential
M-00005,industrial
M-00030,industrial
M-00152,commercial
M-00121,residential
M-00029,residential
M-00025,commercial
M-00042,industrial
M-00249,commercial
M-00236,residential
M-00155,commercial
M-00124,commercial
M-00184,industrial
M-00131,industrial
M-00084,residential
M-00132,commercial
M-00208,commercial
M-00162,industrial
M-00062,industrial
M-00046,industrial
M-00189,commercial
M-00077,residential
M-00031,industrial
M-00110,commercial
M-00093,industrial
M-00164,industrial
M-00257,industrial
M-00206,residential
M-00187,industrial
M-00139,commercial
M-00028,commercial
M-00276,commercial
M-00055,commercial
M-00605,industrial
M-00218,commercial
M-00009,residential
M-00019,commercial
M-00150,industrial
M-00216,residential
M-00137,industrial
M-00126,residential
M-00606,residential
M-00071,industrial
M-00090,commercial
M-00067,industrial
M-00094,residential
M-00136,industrial
M-00171,commercial
M-00247,commercial
M-00145,industrial
M-00154,commercial
M-00009,commercial
M-00253,residential
M-00065,commercial
M-00243,industrial
M-00133,commercial
M-00153,industrial
M-00610,residential
M-00232,commercial
M-00135,residential
M-00202,industrial
M-00163,residential
M-00274,commercial
M-00250,residential
M-00197,residential
M-00203,industrial
M-00130,residential
M-00176,residential
M-00235,industrial
M-00003,commercial
M-00196,residential
M-00256,commercial
M-00085,commercial
M-00102,commercial
M-00134,industrial
M-00212,residential
M-00006,industrial
M-00143,commercial
M-00004,commercial
M-00107,commercial
M-00016,commercial
M-00275,industrial
M-00061,industrial
M-00101,industrial
M-00023,residential
M-00075,commercial
M-00167,commercial
