pipeline_id,run_date,stage_name,duration_s,rows_in,rows_out,shuffle_mb,spill_mb,status
silver_readings,2026-03-01,read_bronze,25.2,1201565,1130701,277,0,success
silver_readings,2026-03-01,transform,34.7,525438,499723,404,0,success
silver_readings,2026-03-01,write_silver,11.1,1008838,985936,110,0,success
silver_meters,2026-03-01,read_reference,17.6,635014,557002,382,0,success
silver_meters,2026-03-01,validate,27.8,982917,865284,453,0,success
silver_meters,2026-03-01,write_silver,37.8,1072494,935695,157,0,success
gold_regional,2026-03-01,read_silver,18.5,1034780,1001999,755,0,success
gold_regional,2026-03-01,aggregate,9.1,1399756,1349207,737,0,success
gold_regional,2026-03-01,write_gold,15.2,1186129,1142650,446,0,success
gold_billing,2026-03-01,read_silver,16.7,882295,828909,427,0,success
gold_billing,2026-03-01,join_meters,30.2,885497,847949,493,0,success
gold_billing,2026-03-01,aggregate,36.4,887192,867630,263,0,success
gold_billing,2026-03-01,write_gold,41.1,739393,734143,574,0,success
silver_readings,2026-03-02,read_bronze,35.2,797004,740625,649,0,success
silver_readings,2026-03-02,transform,17.5,1457733,1354727,253,0,success
silver_readings,2026-03-02,write_silver,13.0,1448556,1266493,650,0,success
silver_meters,2026-03-02,read_reference,16.2,1183361,1115117,159,0,success
silver_meters,2026-03-02,validate,37.0,1043992,972623,553,0,success
silver_meters,2026-03-02,write_silver,31.3,953374,902942,754,0,success
gold_regional,2026-03-02,read_silver,32.0,971563,943048,119,0,success
gold_regional,2026-03-02,aggregate,16.4,882359,753089,288,0,success
gold_regional,2026-03-02,write_gold,25.4,1173267,1064885,451,0,success
gold_billing,2026-03-02,read_silver,40.3,1278663,1210472,53,0,success
gold_billing,2026-03-02,join_meters,9.0,1225926,1195306,495,0,success
gold_billing,2026-03-02,aggregate,7.9,811906,715344,524,0,success
gold_billing,2026-03-02,write_gold,24.0,658160,588057,204,0,success
silver_readings,2026-03-03,read_bronze,28.9,909664,829025,168,0,success
silver_readings,2026-03-03,transform,14.3,1334656,1329932,641,0,success
silver_readings,2026-03-03,write_silver,18.2,1078144,947496,170,0,success
silver_meters,2026-03-03,read_reference,12.2,1217710,1066667,344,0,success
silver_meters,2026-03-03,validate,25.4,1479709,1310723,459,0,success
silver_meters,2026-03-03,write_silver,7.7,504896,482539,360,0,success
gold_regional,2026-03-03,read_silver,12.8,916947,913859,685,0,success
gold_regional,2026-03-03,aggregate,6.7,611466,577135,339,0,success
gold_regional,2026-03-03,write_gold,44.9,1432301,1250610,196,0,success
gold_billing,2026-03-03,read_silver,19.4,1307713,1294917,273,0,success
gold_billing,2026-03-03,join_meters,14.8,1079320,1033620,561,0,success
gold_billing,2026-03-03,aggregate,28.3,1012489,966674,354,0,success
gold_billing,2026-03-03,write_gold,27.6,962017,946466,637,0,success
silver_readings,2026-03-04,read_bronze,22.5,1436978,1300683,558,0,success
silver_readings,2026-03-04,transform,6.7,799377,772653,456,0,success
silver_readings,2026-03-04,write_silver,13.1,515437,442369,622,0,success
