meter_id,daily_kw,date,region,substation_id
M-00039,1460.3,2026-03-09,WEST_INLAND,SUB-010
M-00021,1306.5,2026-03-11,EAST,SUB-015
M-00014,593.6,2026-03-11,EAST_COAST,SUB-034
M-00024,2550.2,2026-03-11,SOUTH_COAST,SUB-033
M-00004,3786.2,2026-03-11,WEST,SUB-040
M-00004,260.4,2026-03-10,SOUTH,SUB-015
M-00002,953.4,2026-03-11,WEST,SUB-004
M-00020,3460.2,2026-03-11,NORTH_COAST,SUB-011
M-00033,2988.3,2026-03-11,NORTH_INLAND,SUB-037
M-00028,3456.5,2026-03-11,SOUTH,SUB-023
M-00017,129.1,2026-03-11,NORTH_INLAND,SUB-027
M-00025,162.4,2026-03-11,SOUTH_COAST,SUB-024
M-00013,2730.3,2026-03-11,EAST,SUB-014
M-00015,1005.7,2026-03-11,EAST_COAST,SUB-014
M-00037,3968.4,2026-03-09,EAST_INLAND,SUB-017
M-00012,3641.7,2026-03-11,EAST,SUB-014
M-00038,559.1,2026-03-09,WEST_COAST,SUB-011
M-00001,3943.1,2026-03-10,NORTH_COAST,SUB-015
M-00004,2851.6,2026-03-09,EAST_INLAND,SUB-030
M-00029,3042.9,2026-03-11,NORTH_INLAND,SUB-020
M-00008,3168.7,2026-03-11,WEST,SUB-012
M-00035,2093.5,2026-03-11,WEST,SUB-009
M-00002,3433.9,2026-03-10,NORTH_INLAND,SUB-016
M-00007,1201.4,2026-03-11,SOUTH_INLAND,SUB-013
M-00005,1485.9,2026-03-09,EAST_COAST,SUB-031
M-00002,2634.5,2026-03-09,EAST,SUB-013
M-00005,230.8,2026-03-11,EAST,SUB-021
M-00005,568.4,2026-03-10,EAST_INLAND,SUB-034
M-00023,3737.7,2026-03-11,EAST_COAST,SUB-035
M-00026,3902.9,2026-03-11,SOUTH,SUB-010
M-00001,2281.7,2026-03-09,WEST,SUB-031
M-00006,3811.3,2026-03-11,SOUTH,SUB-019
M-00016,3271.2,2026-03-11,NORTH_COAST,SUB-022
M-00040,2487.6,2026-03-09,NORTH_COAST,SUB-027
M-00003,1545.1,2026-03-11,EAST_INLAND,SUB-013
M-00027,1361.4,2026-03-11,WEST_INLAND,SUB-016
M-00009,2160.3,2026-03-11,SOUTH_INLAND,SUB-015
M-00030,2219.6,2026-03-11,SOUTH_INLAND,SUB-015
M-00003,273.3,2026-03-09,NORTH_INLAND,SUB-014
M-00001,504.7,2026-03-11,SOUTH,SUB-004
M-00036,612.7,2026-03-09,NORTH,SUB-007
M-00032,3722.8,2026-03-11,WEST_COAST,SUB-011
M-00022,2616.0,2026-03-11,SOUTH,SUB-029
M-00034,769.1,2026-03-11,SOUTH,SUB-033
M-00019,808.9,2026-03-11,NORTH_INLAND,SUB-012
M-00018,2222.2,2026-03-11,NORTH,SUB-018
M-00031,3946.6,2026-03-11,WEST,SUB-010
M-00003,860.5,2026-03-10,NORTH_INLAND,SUB-011
M-00011,1598.1,2026-03-11,EAST_INLAND,SUB-039
M-00010,276.7,2026-03-11,NORTH_COAST,SUB-011
