meter_id,daily_kw,date,region,customer_type,substation_id
M-001,1250.5,2026-03-01,NORTH,RESIDENTIAL,S-N-01
M-001,1310.0,2026-03-02,NORTH,RESIDENTIAL,S-N-01
M-001,,2026-03-03,NORTH,RESIDENTIAL,S-N-01
M-002,3200.0,2026-03-01,NORTH,COMMERCIAL,S-N-02
M-002,2980.7,2026-03-02,NORTH,COMMERCIAL,S-N-02
M-003,8450.2,2026-03-01,NORTH,INDUSTRIAL,S-N-02
M-004,,2026-03-01,NORTH,,S-N-02
M-005,720.1,2026-03-01,SOUTH,RESIDENTIAL,S-S-01
M-006,880.3,2026-03-01,SOUTH,RESIDENTIAL,S-S-01
M-007,,2026-03-02,SOUTH,COMMERCIAL,S-S-02
M-008,4100.0,2026-03-01,SOUTH,INDUSTRIAL,S-S-02
M-009,5200.5,2026-03-02,SOUTH,,S-S-02
M-010,990.8,2026-03-01,EAST,RESIDENTIAL,S-E-01
M-011,,2026-03-01,EAST,COMMERCIAL,S-E-01
M-012,2750.0,2026-03-02,EAST,COMMERCIAL,S-E-01
,,2026-03-02,EAST,,S-E-01
M-013,1875.3,2026-03-01,WEST,RESIDENTIAL,S-W-01
M-014,3400.0,2026-03-02,WEST,INDUSTRIAL,S-W-01
,650.0,2026-03-01,,RESIDENTIAL,S-N-01
,1420.0,2026-03-02,,RESIDENTIAL,S-S-01
