meter_id,customer_type,substation_id
M-0001,residential,SUB-01
M-0002,residential,SUB-02
M-0003,industrial,SUB-03
M-0004,commercial,SUB-04
M-0005,residential,SUB-05
M-0006,residential,SUB-06
M-0007,residential,SUB-07
M-0008,industrial,SUB-08
M-0009,commercial,SUB-01
M-0010,commercial,SUB-02
M-0011,residential,SUB-03
M-0012,residential,SUB-04
M-0013,residential,SUB-05
M-0014,industrial,SUB-06
M-0015,residential,SUB-07
M-0016,residential,SUB-08
M-0017,commercial,SUB-01
M-0018,residential,SUB-02
M-0019,residential,SUB-03
M-0020,residential,SUB-04
M-0021,commercial,SUB-05
M-0022,commercial,SUB-06
M-0023,industrial,SUB-07
M-0024,residential,SUB-08
M-0025,residential,SUB-01
M-0026,residential,SUB-02
M-0027,commercial,SUB-03
M-0028,commercial,SUB-04
M-0029,industrial,SUB-05
M-0030,commercial,SUB-06
M-0036,residential,SUB-06
M-0037,commercial,SUB-06
M-0038,residential,SUB-02
M-0039,residential,SUB-01
M-0040,residential,SUB-03
