meter_id,daily_kw,date,region,ingestion_ts,source_file,batch_id
M-0089,2828.3,2026-03-18,NORTH,2026-03-20T03:29:00,batch_0320_a.csv,1003
M-0059,2301.5,2026-03-17,NORTH,2026-03-20T04:25:00,batch_0320_a.csv,1005
M-0097,1441.2,2026-03-16,NORTH,2026-03-20T02:10:00,batch_0319_a.csv,1001
M-0005,1582.5,2026-03-16,EAST,2026-03-20T06:11:00,batch_0320_b.csv,1005
M-0002,875.3,2026-03-16,WEST,2026-03-20T05:50:00,batch_0319_a.csv,1005
M-0037,2496.8,2026-03-16,NORTH,2026-03-20T03:30:00,batch_0320_b.csv,1002
M-0110,-23.3,2026-03-20,NORTH,2026-03-20T04:10:00,batch_0319_a.csv,1005
M-0077,507.1,2026-03-20,NORTH,2026-03-20T05:11:00,batch_0320_a.csv,1003
M-0085,858.5,2026-03-16,NORTH,2026-03-20T04:11:00,batch_0320_b.csv,1004
M-0094,1290.6,2026-03-17,WEST,2026-03-20T03:15:00,batch_0320_a.csv,1001
M-0091,2257.3,2026-03-20,SOUTH,2026-03-20T03:34:00,batch_0319_a.csv,1001
M-0083,654.9,2026-03-19,SOUTH,2026-03-20T03:38:00,batch_0319_a.csv,1002
M-0101,,2026-03-17,SOUTH,2026-03-20T03:21:00,batch_0320_a.csv,1005
M-0062,1264.7,2026-03-17,NORTH,2026-03-20T03:24:00,batch_0320_a.csv,1001
M-0100,2879.1,2026-03-16,NORTH,2026-03-20T01:20:00,batch_0320_b.csv,1002
M-0019,966.8,2026-03-16,SOUTH,2026-03-20T01:40:00,batch_0319_a.csv,1004
M-0034,267.0,2026-03-19,NORTH,2026-03-20T06:26:00,batch_0319_a.csv,1003
M-0013,2658.9,2026-03-17,NORTH,2026-03-20T06:16:00,batch_0320_a.csv,1003
M-0027,2970.9,2026-03-18,EAST,2026-03-20T03:53:00,batch_0320_a.csv,1002
M-0046,2941.4,2026-03-17,NORTH,2026-03-20T02:34:00,batch_0320_b.csv,1005
M-0111,-71.3,2026-03-20,NORTH,2026-03-20T04:32:00,batch_0319_a.csv,1001
M-0009,3007.4,2026-03-18,WEST,2026-03-20T01:59:00,batch_0320_b.csv,1005
M-0099,1820.9,2026-03-17,NORTH,2026-03-20T02:31:00,batch_0320_a.csv,1005
M-0090,1242.7,2026-03-18,EAST,2026-03-20T02:50:00,batch_0320_a.csv,1004
M-0029,1759.5,2026-03-20,EAST,2026-03-20T06:47:00,batch_0320_a.csv,1002
M-0006,2898.5,2026-03-16,EAST,2026-03-20T05:55:00,batch_0319_a.csv,1001
M-0015,596.6,2026-03-17,NORTH,2026-03-20T01:54:00,batch_0320_a.csv,1002
M-0038,1480.3,2026-03-16,NORTH,2026-03-20T05:34:00,batch_0319_a.csv,1005
M-0016,496.0,2026-03-17,NORTH,2026-03-20T04:40:00,batch_0320_a.csv,1002
M-0047,223.8,2026-03-18,SOUTH,2026-03-20T05:29:00,batch_0320_b.csv,1004
M-0035,1805.7,2026-03-19,EAST,2026-03-20T06:15:00,batch_0320_a.csv,1001
M-0044,2924.5,2026-03-20,NORTH,2026-03-20T05:36:00,batch_0320_b.csv,1005
M-0033,2744.0,2026-03-16,SOUTH,2026-03-20T01:37:00,batch_0320_a.csv,1001
M-0081,778.8,2026-03-16,NORTH,2026-03-20T04:17:00,batch_0320_a.csv,1005
M-0075,545.0,2026-03-17,NORTH,2026-03-20T03:16:00,batch_0320_b.csv,1003
M-0054,2916.8,2026-03-17,NORTH,2026-03-20T01:11:00,batch_0320_a.csv,1003
M-0067,668.6,2026-03-20,EAST,2026-03-20T03:41:00,batch_0320_b.csv,1005
M-0006,2898.5,2026-03-16,EAST,2026-03-20T06:30:00,batch_0320_b.csv,1005
M-0114,0.0,2026-03-20,EAST,2026-03-20T05:30:00,batch_0320_a.csv,1003
M-0104,,2026-03-17,NORTH,2026-03-20T03:17:00,batch_0319_a.csv,1002
M-0115,0.0,2026-03-19,WEST,2026-03-20T05:31:00,batch_0320_a.csv,1003
M-0052,2276.3,2026-03-17,NORTH,2026-03-20T04:47:00,batch_0320_a.csv,1005
M-0017,2504.4,2026-03-19,NORTH,2026-03-20T01:20:00,batch_0320_a.csv,1002
M-0084,342.9,2026-03-16,WEST,2026-03-20T01:36:00,batch_0320_b.csv,1004
M-0051,1239.7,2026-03-18,SOUTH,2026-03-20T01:52:00,batch_0320_b.csv,1002
M-0061,862.4,2026-03-17,NORTH,2026-03-20T05:30:00,batch_0319_a.csv,1003
M-0065,2123.3,2026-03-20,NORTH,2026-03-20T04:48:00,batch_0319_a.csv,1004
M-0102,,2026-03-16,SOUTH,2026-03-20T03:47:00,batch_0319_a.csv,1004
M-0108,,2026-03-18,NORTH,2026-03-20T03:20:00,batch_0320_b.csv,1003
M-0069,262.1,2026-03-17,WEST,2026-03-20T03:39:00,batch_0320_a.csv,1001
M-0092,2472.1,2026-03-16,WEST,2026-03-20T04:29:00,batch_0320_a.csv,1005
M-0032,2397.4,2026-03-16,NORTH,2026-03-20T01:13:00,batch_0320_b.csv,1002
M-0004,707.8,2026-03-17,WEST,2026-03-20T03:17:00,batch_0320_a.csv,1005
M-0002,875.3,2026-03-16,WEST,2026-03-20T06:29:00,batch_0320_b.csv,1005
M-0086,1248.6,2026-03-18,SOUTH,2026-03-20T06:53:00,batch_0320_a.csv,1001
M-0036,1710.4,2026-03-17,SOUTH,2026-03-20T01:21:00,batch_0319_a.csv,1004
M-0004,707.8,2026-03-17,WEST,2026-03-20T06:10:00,batch_0320_b.csv,1005
M-0063,912.0,2026-03-16,NORTH,2026-03-20T05:11:00,batch_0320_b.csv,1001
M-0001,751.8,2026-03-18,EAST,2026-03-20T02:17:00,batch_0320_b.csv,1004
M-0003,236.5,2026-03-18,NORTH,2026-03-20T06:16:00,batch_0320_b.csv,1005
M-0049,2153.8,2026-03-18,NORTH,2026-03-20T05:17:00,batch_0320_b.csv,1003
M-0040,1185.7,2026-03-18,EAST,2026-03-20T06:37:00,batch_0320_a.csv,1005
M-0003,236.5,2026-03-18,NORTH,2026-03-20T04:21:00,batch_0320_a.csv,1005
M-0008,3118.4,2026-03-16,EAST,2026-03-20T03:38:00,batch_0319_a.csv,1005
M-0095,1316.9,2026-03-19,SOUTH,2026-03-20T03:10:00,batch_0320_a.csv,1004
M-0098,2517.2,2026-03-20,WEST,2026-03-20T03:22:00,batch_0320_b.csv,1003
M-0010,905.8,2026-03-16,WEST,2026-03-20T05:40:00,batch_0320_b.csv,1002
M-0043,1613.5,2026-03-20,EAST,2026-03-20T06:14:00,batch_0320_b.csv,1003
M-0025,3109.0,2026-03-18,WEST,2026-03-20T06:53:00,batch_0320_b.csv,1005
M-0109,-21.6,2026-03-20,NORTH,2026-03-20T04:21:00,batch_0320_b.csv,1001
M-0079,2623.1,2026-03-17,NORTH,2026-03-20T06:31:00,batch_0319_a.csv,1005
M-0082,2591.1,2026-03-16,NORTH,2026-03-20T03:48:00,batch_0319_a.csv,1005
M-0030,2140.7,2026-03-19,NORTH,2026-03-20T03:13:00,batch_0319_a.csv,1005
M-0072,2358.9,2026-03-18,NORTH,2026-03-20T02:51:00,batch_0320_a.csv,1005
M-0093,820.3,2026-03-16,EAST,2026-03-20T04:41:00,batch_0320_a.csv,1004
M-0076,1568.8,2026-03-16,NORTH,2026-03-20T02:44:00,batch_0320_b.csv,1004
M-0107,,2026-03-16,WEST,2026-03-20T03:41:00,batch_0320_b.csv,1001
M-0088,814.3,2026-03-17,SOUTH,2026-03-20T04:30:00,batch_0320_a.csv,1001
M-0080,1366.2,2026-03-17,NORTH,2026-03-20T06:35:00,batch_0320_a.csv,1002
M-0048,2226.0,2026-03-17,SOUTH,2026-03-20T01:46:00,batch_0320_a.csv,1004
M-0050,2280.9,2026-03-17,NORTH,2026-03-20T02:20:00,batch_0320_a.csv,1004
M-0105,,2026-03-18,SOUTH,2026-03-20T03:22:00,batch_0319_a.csv,1002
M-0055,1387.6,2026-03-18,SOUTH,2026-03-20T01:22:00,batch_0319_a.csv,1003
M-0007,2416.6,2026-03-19,NORTH,2026-03-20T01:16:00,batch_0319_a.csv,1004
M-0113,-1.0,2026-03-17,EAST,2026-03-20T04:51:00,batch_0320_a.csv,1002
M-0078,988.9,2026-03-17,SOUTH,2026-03-20T02:25:00,batch_0319_a.csv,1005
M-0042,3062.2,2026-03-16,EAST,2026-03-20T03:29:00,batch_0320_b.csv,1002
M-0023,1774.2,2026-03-17,NORTH,2026-03-20T04:22:00,batch_0319_a.csv,1004
M-0026,1371.3,2026-03-16,SOUTH,2026-03-20T03:34:00,batch_0319_a.csv,1005
M-0045,2258.3,2026-03-17,SOUTH,2026-03-20T01:53:00,batch_0320_b.csv,1005
M-0021,2392.1,2026-03-20,NORTH,2026-03-20T01:15:00,batch_0319_a.csv,1001
M-0011,189.0,2026-03-17,EAST,2026-03-20T01:13:00,batch_0320_b.csv,1001
M-0073,2770.2,2026-03-17,EAST,2026-03-20T02:55:00,batch_0319_a.csv,1001
M-0028,797.0,2026-03-20,NORTH,2026-03-20T05:49:00,batch_0319_a.csv,1005
M-0112,-5.7,2026-03-17,NORTH,2026-03-20T04:30:00,batch_0320_b.csv,1001
M-0106,,2026-03-20,SOUTH,2026-03-20T03:52:00,batch_0319_a.csv,1004
M-0064,845.6,2026-03-17,WEST,2026-03-20T04:55:00,batch_0320_a.csv,1003
M-0103,,2026-03-19,NORTH,2026-03-20T03:47:00,batch_0319_a.csv,1002
M-0018,2194.8,2026-03-19,NORTH,2026-03-20T04:46:00,batch_0319_a.csv,1005
M-0024,2786.1,2026-03-18,EAST,2026-03-20T01:43:00,batch_0320_b.csv,1003
M-0022,2526.1,2026-03-20,SOUTH,2026-03-20T02:16:00,batch_0319_a.csv,1004
M-0020,1027.3,2026-03-18,NORTH,2026-03-20T02:11:00,batch_0319_a.csv,1004
M-0071,935.6,2026-03-16,WEST,2026-03-20T02:28:00,batch_0320_b.csv,1004
M-0096,1193.8,2026-03-16,NORTH,2026-03-20T06:35:00,batch_0319_a.csv,1005
M-0005,1582.5,2026-03-16,EAST,2026-03-20T02:22:00,batch_0320_a.csv,1001
M-0068,2680.0,2026-03-20,SOUTH,2026-03-20T04:44:00,batch_0320_a.csv,1005
M-0014,2722.7,2026-03-20,SOUTH,2026-03-20T03:58:00,batch_0320_b.csv,1005
M-0041,925.4,2026-03-19,SOUTH,2026-03-20T02:20:00,batch_0320_b.csv,1002
M-0056,2835.4,2026-03-16,SOUTH,2026-03-20T06:12:00,batch_0319_a.csv,1005
M-0066,1625.3,2026-03-17,NORTH,2026-03-20T04:19:00,batch_0320_a.csv,1001
M-0057,696.0,2026-03-19,WEST,2026-03-20T05:23:00,batch_0320_b.csv,1003
M-0087,1763.3,2026-03-20,NORTH,2026-03-20T01:29:00,batch_0320_b.csv,1001
M-0039,2273.9,2026-03-17,EAST,2026-03-20T02:49:00,batch_0319_a.csv,1003
M-0001,751.8,2026-03-18,EAST,2026-03-20T06:12:00,batch_0320_b.csv,1005
M-0074,2563.2,2026-03-20,EAST,2026-03-20T06:37:00,batch_0319_a.csv,1004
M-0031,3063.1,2026-03-16,EAST,2026-03-20T01:54:00,batch_0320_b.csv,1001
M-0058,2413.0,2026-03-20,WEST,2026-03-20T05:15:00,batch_0319_a.csv,1002
M-0070,2941.6,2026-03-16,EAST,2026-03-20T03:17:00,batch_0319_a.csv,1003
M-0012,509.6,2026-03-17,EAST,2026-03-20T05:46:00,batch_0319_a.csv,1004
M-0053,761.2,2026-03-19,EAST,2026-03-20T06:47:00,batch_0320_a.csv,1004
M-0060,2364.7,2026-03-17,SOUTH,2026-03-20T05:39:00,batch_0320_a.csv,1003
