meter_id,daily_kw,date,region
M-0001,742.9,2026-03-15,NORTH
M-0002,3382.3,2026-03-17,EAST
M-0003,4128.6,2026-03-13,North
M-0004,2469.4,2026-03-11,WEST
M-0005,1486.6,2026-03-12,NORTH  
M-0006,3496.5,2026-03-10,west
M-0007,261.3,2026-03-14,NORTH
M-0008,2600.9,2026-03-18,north
M-0009,1753.6,2026-03-18,  EAST  
M-0010,942.3,2026-03-12,NORTH
M-0011,831.8,2026-03-12,east
M-0012,553.5,2026-03-18,  NORTH
M-0013,1515.5,2026-03-14,WEST
M-0014,2148.5,2026-03-15,South
M-0015,1446.1,2026-03-15,  EAST  
M-0016,1413.7,2026-03-15,NORTH
M-0017,3729.6,2026-03-12,NORTH
M-0018,1845.3,2026-03-17,south
M-0019,1204.0,2026-03-17,EAST
M-0020,1398.3,2026-03-14,  EAST  
M-0021,2730.9,2026-03-17,North
M-0022,2231.8,2026-03-11,east
M-0023,1650.5,2026-03-10,SOUTH
M-0024,2551.4,2026-03-12,North
M-0025,2889.3,2026-03-16,SOUTH
M-0026,3611.6,2026-03-15,NORTH
M-0027,3763.5,2026-03-13,EAST
M-0028,2563.1,2026-03-13,  NORTH
M-0029,1649.2,2026-03-18,South
M-0030,1527.4,2026-03-11,EAST
M-0031,1872.6,2026-03-10,SOUTH
M-0032,2992.3,2026-03-15,EAST
M-0033,2470.5,2026-03-16,WEST
M-0034,2048.9,2026-03-13,EAST
M-0035,3186.0,2026-03-18,EAST
M-0036,2710.4,2026-03-17,NORTH
M-0037,1013.7,2026-03-11,North
M-0038,1948.2,2026-03-17,EAST
M-0039,3589.7,2026-03-15,North
M-0040,2157.1,2026-03-15,NORTH
M-0041,4266.1,2026-03-09,south
M-0042,195.4,2026-03-12,north
M-0043,1964.0,2026-03-17,SOUTH
M-0044,4471.2,2026-03-12,SOUTH
M-0045,328.5,2026-03-17,  EAST  
M-0046,731.1,2026-03-12,east
M-0047,3288.8,2026-03-10,NORTH
M-0048,3360.6,2026-03-14,EAST
M-0049,3876.8,2026-03-18,EAST
M-0050,387.2,2026-03-10,West
M-0051,3260.0,2026-03-15,SOUTH
M-0052,244.2,2026-03-17,SOUTH
M-0053,3702.0,2026-03-18,SOUTH
M-0054,1231.1,2026-03-15,SOUTH
M-0055,3399.4,2026-03-09,NORTH
M-0056,2360.0,2026-03-10,EAST
M-0057,2477.4,2026-03-14,West
M-0058,2515.9,2026-03-11,NORTH
M-0059,2365.4,2026-03-17,  NORTH
M-0060,258.1,2026-03-09,south
M-0061,398.0,2026-03-14,  EAST  
M-0062,2207.0,2026-03-17,WEST
M-0063,1203.7,2026-03-11,EAST
M-0064,357.0,2026-03-12,NORTH
M-0065,1832.3,2026-03-11,south
M-0066,3366.2,2026-03-12,  NORTH
M-0067,2574.5,2026-03-17,NORTH
M-0068,540.1,2026-03-09,  EAST  
M-0069,1023.8,2026-03-14,North
M-0070,1827.9,2026-03-09,WEST
M-0071,703.0,2026-03-16,NORTH
M-0072,2192.7,2026-03-13,  NORTH
M-0073,3281.4,2026-03-14,east
M-0074,4177.2,2026-03-13,south
M-0075,2582.2,2026-03-18,NORTH
M-0076,2990.5,2026-03-13,South
M-0077,2675.3,2026-03-14,SOUTH
M-0078,4438.3,2026-03-11,North
M-0079,584.8,2026-03-15,EAST
M-0080,1525.4,2026-03-16,South
M-0081,2535.1,2026-03-10,SOUTH
M-0082,555.3,2026-03-12,north
M-0083,3748.1,2026-03-14,east
M-0084,2368.1,2026-03-17,WEST
M-0085,2977.3,2026-03-18,EAST
M-0086,null,2026-03-09,NORTH
M-0087,ERR,2026-03-15,NORTH
M-0088,--,2026-03-15,north
M-0089,--,2026-03-10,SOUTH
M-0090,,2026-03-10,SOUTH
M-0091,,2026-03-12,NORTH
M-0092,,2026-03-09,SOUTH
M-0093,,2026-03-14,north
M-0094,-7.7,2026-03-14,North
M-0095,-22.2,2026-03-17,NORTH  
M-0096,-71.6,2026-03-16,EAST
M-0097,0.0,2026-03-14,west
M-0098,0.0,2026-03-17,  NORTH
M-0099,9999.9,2026-03-17,North
M-0100,9999.9,2026-03-12,SOUTH
