meter_id,daily_kw,date,region,is_valid
M-0030,2950.7,2026-03-11,SOUTH,true
M-0077,2279.6,2026-03-02,WEST,true
M-0013,901.4,2026-03-02,NORTH,true
M-0039,1501.1,2026-03-02,NORTH,true
M-0090,895.0,2026-03-15,EAST,true
M-0056,2897.5,2026-03-04,SOUTH,true
M-0052,895.5,2026-03-02,WEST,true
M-0043,3183.3,2026-03-07,NORTH,true
M-0027,328.5,2026-03-06,EAST,true
M-0142,,2026-03-12,WEST,false
M-0011,926.6,2026-03-10,SOUTH,true
M-0035,2110.1,2026-03-01,EAST,true
M-0047,2931.4,2026-03-04,SOUTH,true
M-0118,2188.5,2026-03-09,EAST,true
M-0148,-10.4,2026-03-02,NORTH,false
M-0083,2706.0,2026-03-14,NORTH,true
M-0080,164.3,2026-03-12,EAST,true
M-0004,2119.1,2026-03-14,EAST,true
M-0003,472.2,2026-03-09,EAST,true
M-0006,1577.2,2026-03-12,EAST,true
M-0100,1177.1,2026-03-03,EAST,true
M-0111,2855.0,2026-03-02,NORTH,true
M-0031,497.0,2026-03-12,NORTH,true
M-0144,,2026-03-13,WEST,false
M-0010,929.4,2026-03-12,EAST,true
M-0088,3295.2,2026-03-11,SOUTH,true
M-0104,2313.5,2026-03-02,NORTH,true
M-0074,3342.9,2026-03-02,SOUTH,true
M-0087,2548.5,2026-03-11,WEST,true
M-0107,3710.2,2026-03-11,WEST,true
M-0032,489.4,2026-03-09,SOUTH,true
M-0072,1387.7,2026-03-07,NORTH,true
M-0113,3353.6,2026-03-13,NORTH,true
M-0140,3965.7,2026-03-10,SOUTH,true
M-0005,3858.6,2026-03-03,SOUTH,true
M-0028,552.4,2026-03-13,EAST,true
M-0034,354.1,2026-03-04,EAST,true
M-0145,,2026-03-11,WEST,false
M-0084,3713.9,2026-03-05,NORTH,true
M-0109,3205.2,2026-03-05,NORTH,true
M-0125,1708.7,2026-03-06,EAST,true
M-0058,4011.5,2026-03-12,EAST,true
M-0089,4185.8,2026-03-01,SOUTH,true
M-0094,700.0,2026-03-10,SOUTH,true
M-0037,2573.1,2026-03-04,SOUTH,true
M-0023,130.5,2026-03-14,EAST,true
M-0146,,2026-03-09,SOUTH,false
M-0139,3206.6,2026-03-01,NORTH,true
M-0065,4003.8,2026-03-14,WEST,true
M-0061,1211.9,2026-03-13,EAST,true
M-0112,3258.9,2026-03-08,EAST,true
M-0045,3595.7,2026-03-15,NORTH,true
M-0119,1589.5,2026-03-04,SOUTH,true
M-0091,199.9,2026-03-03,SOUTH,true
M-0066,2214.1,2026-03-11,NORTH,true
M-0019,2569.7,2026-03-14,NORTH,true
