meter_id,customer_type,substation_id,region
M-0001,commercial,SUB-06,SOUTH
M-0002,residential,SUB-02,EAST
M-0003,residential,SUB-04,SOUTH
M-0004,residential,SUB-01,EAST
M-0005,residential,SUB-08,SOUTH
M-0006,commercial,SUB-04,WEST
M-0007,residential,SUB-06,NORTH
M-0008,residential,SUB-05,WEST
M-0009,residential,SUB-04,NORTH
M-0010,residential,SUB-04,WEST
M-0011,residential,SUB-02,NORTH
M-0012,commercial,SUB-04,EAST
M-0013,commercial,SUB-02,WEST
M-0014,commercial,SUB-02,EAST
M-0015,residential,SUB-02,EAST
M-0016,industrial,SUB-01,WEST
M-0017,commercial,SUB-04,SOUTH
M-0018,residential,SUB-07,SOUTH
M-0019,commercial,SUB-07,NORTH
M-0020,industrial,SUB-01,NORTH
M-0021,residential,SUB-01,EAST
M-0022,commercial,SUB-07,NORTH
M-0023,residential,SUB-08,NORTH
M-0024,commercial,SUB-02,SOUTH
M-0025,residential,SUB-02,NORTH
M-0026,commercial,SUB-06,WEST
M-0027,residential,SUB-01,WEST
M-0028,residential,SUB-01,NORTH
M-0029,residential,SUB-08,NORTH
M-0030,commercial,SUB-08,NORTH
M-0031,commercial,SUB-03,SOUTH
M-0032,residential,SUB-02,SOUTH
M-0033,residential,SUB-01,NORTH
M-0034,industrial,SUB-04,WEST
M-0035,industrial,SUB-07,WEST
M-0036,residential,SUB-02,WEST
M-0037,commercial,SUB-05,EAST
M-0038,residential,SUB-04,NORTH
M-0039,residential,SUB-02,NORTH
M-0040,residential,SUB-03,NORTH
M-0041,residential,SUB-02,SOUTH
M-0042,commercial,SUB-07,SOUTH
M-0043,residential,SUB-07,EAST
M-0044,residential,SUB-08,WEST
M-0045,residential,SUB-07,EAST
M-0046,residential,SUB-02,EAST
M-0047,residential,SUB-04,EAST
M-0048,industrial,SUB-08,WEST
M-0049,residential,SUB-07,EAST
M-0050,residential,SUB-05,NORTH
M-0051,residential,SUB-02,SOUTH
M-0052,residential,SUB-01,SOUTH
M-0053,industrial,SUB-01,NORTH
M-0054,commercial,SUB-02,SOUTH
M-0055,residential,SUB-03,EAST
M-0056,residential,SUB-07,NORTH
M-0057,commercial,SUB-05,NORTH
M-0058,residential,SUB-01,NORTH
M-0059,residential,SUB-03,WEST
M-0060,residential,SUB-02,WEST
M-0061,residential,SUB-01,WEST
M-0062,commercial,SUB-01,EAST
M-0063,commercial,SUB-05,SOUTH
M-0064,residential,SUB-02,NORTH
M-0065,residential,SUB-07,NORTH
M-0066,residential,SUB-08,SOUTH
M-0067,residential,SUB-06,EAST
M-0068,residential,SUB-04,WEST
M-0069,residential,SUB-07,SOUTH
M-0070,residential,SUB-02,SOUTH
M-0071,commercial,SUB-05,EAST
M-0072,residential,SUB-07,SOUTH
M-0073,residential,SUB-06,SOUTH
M-0074,residential,SUB-04,SOUTH
M-0075,residential,SUB-03,EAST
M-0076,residential,SUB-08,EAST
M-0077,residential,SUB-04,NORTH
M-0078,residential,SUB-02,EAST
M-0079,residential,SUB-01,EAST
M-0080,residential,SUB-07,WEST
M-0081,commercial,SUB-02,WEST
M-0082,commercial,SUB-06,WEST
M-0083,residential,SUB-07,SOUTH
M-0084,residential,SUB-07,EAST
M-0085,residential,SUB-05,EAST
M-0086,residential,SUB-08,NORTH
M-0087,residential,SUB-07,EAST
M-0088,industrial,SUB-06,EAST
M-0089,residential,SUB-02,EAST
M-0090,residential,SUB-02,WEST
M-0091,commercial,SUB-03,SOUTH
M-0092,residential,SUB-05,EAST
M-0093,residential,SUB-02,EAST
M-0094,commercial,SUB-03,SOUTH
M-0095,residential,SUB-01,WEST
M-0096,residential,SUB-07,SOUTH
M-0097,residential,SUB-01,WEST
M-0098,residential,SUB-07,NORTH
M-0099,residential,SUB-01,EAST
M-0100,residential,SUB-05,WEST
M-0121,residential,SUB-04,EAST
M-0122,residential,SUB-01,SOUTH
M-0123,residential,SUB-04,EAST
M-0124,residential,SUB-05,NORTH
M-0125,commercial,SUB-02,SOUTH
M-0126,residential,SUB-08,WEST
M-0127,industrial,SUB-02,WEST
M-0128,residential,SUB-07,WEST
M-0129,residential,SUB-02,EAST
M-0130,residential,SUB-08,SOUTH
