meter_id,daily_kw,date,region
M-0001,1207.2,2026-03-09,EAST
M-0002,3006.8,2026-03-13,WEST
M-0003,1525.4,2026-03-13,SOUTH
M-0004,3619.1,2026-03-15,NORTH
M-0005,204.3,2026-03-11,SOUTH
M-0006,3116.5,2026-03-11,NORTH
M-0007,1750.2,2026-03-15,SOUTH
M-0008,2946.9,2026-03-10,WEST
M-0009,989.4,2026-03-12,SOUTH
M-0010,1289.0,2026-03-14,NORTH
M-0011,2623.2,2026-03-12,WEST
M-0012,804.6,2026-03-12,WEST
M-0013,3801.6,2026-03-14,SOUTH
M-0014,216.3,2026-03-15,NORTH
M-0015,763.1,2026-03-13,WEST
M-0016,1093.3,2026-03-12,NORTH
M-0017,3335.1,2026-03-12,NORTH
M-0018,2480.5,2026-03-12,NORTH
M-0019,628.8,2026-03-13,WEST
M-0020,3850.6,2026-03-14,NORTH
M-0021,3072.3,2026-03-11,EAST
M-0022,3046.5,2026-03-15,EAST
M-0023,3853.5,2026-03-11,EAST
M-0024,159.8,2026-03-13,EAST
M-0025,1823.8,2026-03-12,EAST
M-0026,2924.5,2026-03-14,NORTH
M-0027,2267.1,2026-03-09,WEST
M-0028,3450.4,2026-03-14,NORTH
M-0029,3197.4,2026-03-15,WEST
M-0030,2605.7,2026-03-14,WEST
M-0031,605.0,2026-03-13,NORTH
M-0032,3353.4,2026-03-13,SOUTH
M-0033,2574.5,2026-03-12,SOUTH
M-0034,2219.6,2026-03-10,WEST
M-0035,507.9,2026-03-10,NORTH
M-0036,556.6,2026-03-11,NORTH
M-0037,636.2,2026-03-12,NORTH
M-0038,1852.6,2026-03-11,SOUTH
M-0039,1036.2,2026-03-09,SOUTH
M-0040,3118.3,2026-03-09,NORTH
M-0041,2867.8,2026-03-11,SOUTH
M-0042,3104.7,2026-03-12,WEST
M-0043,1583.4,2026-03-12,NORTH
M-0044,879.1,2026-03-15,SOUTH
M-0045,1631.3,2026-03-12,NORTH
M-0046,472.8,2026-03-14,EAST
M-0047,2456.6,2026-03-11,SOUTH
M-0048,745.7,2026-03-13,WEST
M-0049,2820.6,2026-03-15,NORTH
M-0050,379.6,2026-03-12,EAST
M-0051,1632.5,2026-03-14,SOUTH
M-0052,2968.5,2026-03-12,NORTH
M-0053,1696.5,2026-03-12,WEST
M-0054,1676.2,2026-03-13,NORTH
M-0055,3974.6,2026-03-15,SOUTH
M-0056,1304.5,2026-03-11,NORTH
M-0057,3971.1,2026-03-09,EAST
M-0058,467.8,2026-03-09,WEST
M-0059,949.4,2026-03-12,EAST
M-0060,390.8,2026-03-15,EAST
M-0061,1772.9,2026-03-10,EAST
M-0062,1260.9,2026-03-13,EAST
M-0063,1497.2,2026-03-14,NORTH
M-0064,2040.2,2026-03-12,NORTH
M-0065,2794.5,2026-03-13,WEST
M-0066,3745.9,2026-03-10,NORTH
M-0067,3562.2,2026-03-11,WEST
M-0068,3356.6,2026-03-14,SOUTH
M-0069,2364.8,2026-03-15,WEST
M-0070,3519.9,2026-03-12,NORTH
M-0071,1782.8,2026-03-10,WEST
M-0072,1558.5,2026-03-09,EAST
M-0073,421.7,2026-03-15,SOUTH
M-0074,1592.0,2026-03-09,EAST
M-0075,3636.7,2026-03-14,WEST
M-0076,1542.3,2026-03-10,EAST
M-0077,3887.2,2026-03-12,NORTH
M-0078,1740.6,2026-03-10,WEST
M-0079,1802.8,2026-03-15,NORTH
M-0080,3785.5,2026-03-15,WEST
M-0081,1248.9,2026-03-13,EAST
M-0082,1165.1,2026-03-12,SOUTH
M-0083,1397.0,2026-03-14,EAST
M-0084,1477.7,2026-03-15,SOUTH
M-0085,1732.7,2026-03-12,WEST
M-0086,3256.1,2026-03-14,NORTH
M-0087,3183.0,2026-03-11,NORTH
M-0088,3335.9,2026-03-09,WEST
M-0089,626.7,2026-03-09,SOUTH
M-0090,2405.0,2026-03-09,SOUTH
M-0091,604.8,2026-03-12,NORTH
M-0092,2659.0,2026-03-11,NORTH
M-0093,2789.1,2026-03-14,SOUTH
M-0094,1617.1,2026-03-10,NORTH
M-0095,3736.7,2026-03-10,WEST
M-0096,3502.8,2026-03-11,WEST
M-0097,1938.0,2026-03-15,EAST
M-0098,724.5,2026-03-13,NORTH
M-0099,329.3,2026-03-10,SOUTH
M-0100,1961.0,2026-03-15,EAST
M-0101,1295.3,2026-03-15,WEST
M-0102,3693.5,2026-03-11,SOUTH
M-0103,639.1,2026-03-15,WEST
M-0104,1476.0,2026-03-15,EAST
M-0105,1082.0,2026-03-12,EAST
M-0106,1306.8,2026-03-15,WEST
M-0107,3997.9,2026-03-10,NORTH
M-0108,662.5,2026-03-15,EAST
M-0109,512.0,2026-03-15,EAST
M-0110,1912.0,2026-03-15,WEST
M-0111,1025.8,2026-03-14,EAST
M-0112,2732.8,2026-03-11,WEST
M-0113,1336.4,2026-03-11,NORTH
M-0114,3006.8,2026-03-14,SOUTH
M-0115,819.8,2026-03-14,WEST
M-0116,2158.1,2026-03-14,NORTH
M-0117,3845.6,2026-03-09,EAST
M-0118,876.5,2026-03-13,EAST
M-0119,311.5,2026-03-15,WEST
M-0120,1535.9,2026-03-14,NORTH
