meter_id,daily_kw,date,region
M-0001,1570.7,2026-03-19,EAST
M-0002,3439.0,2026-03-15,NORTH
M-0003,2048.7,2026-03-15,NORTH
M-0004,3254.2,2026-03-15,WEST
M-0005,601.4,2026-03-20,SOUTH
M-0006,2326.3,2026-03-17,WEST
M-0007,1297.6,2026-03-17,SOUTH
M-0008,1230.4,2026-03-20,WEST
M-0009,3152.5,2026-03-18,NORTH
M-0010,665.2,2026-03-19,WEST
M-0011,3352.4,2026-03-19,SOUTH
M-0012,3503.3,2026-03-19,WEST
M-0013,3000.2,2026-03-20,WEST
M-0014,2709.8,2026-03-16,WEST
M-0015,1846.2,2026-03-20,WEST
M-0016,643.6,2026-03-20,SOUTH
M-0017,567.1,2026-03-18,NORTH
M-0018,3375.0,2026-03-20,NORTH
M-0019,1524.9,2026-03-18,SOUTH
M-0020,3710.3,2026-03-18,NORTH
M-0021,3272.2,2026-03-15,EAST
M-0022,2211.0,2026-03-16,WEST
M-0023,685.4,2026-03-18,WEST
M-0024,2021.7,2026-03-16,EAST
M-0025,1625.9,2026-03-20,EAST
M-0026,3652.2,2026-03-14,SOUTH
M-0027,3529.0,2026-03-14,EAST
M-0028,227.5,2026-03-18,SOUTH
M-0029,2002.9,2026-03-15,EAST
M-0030,399.4,2026-03-20,EAST
M-0031,622.3,2026-03-18,SOUTH
M-0032,3546.8,2026-03-14,SOUTH
M-0033,2866.7,2026-03-17,WEST
M-0034,3463.2,2026-03-15,WEST
M-0035,269.5,2026-03-15,SOUTH
M-0036,2846.3,2026-03-14,WEST
M-0037,1211.3,2026-03-16,EAST
M-0038,432.8,2026-03-15,EAST
M-0039,2056.3,2026-03-16,WEST
M-0040,802.4,2026-03-15,NORTH
M-0041,257.8,2026-03-18,SOUTH
M-0042,838.3,2026-03-17,SOUTH
M-0043,1858.4,2026-03-15,WEST
M-0044,2232.5,2026-03-14,WEST
M-0045,1012.5,2026-03-14,NORTH
M-0046,1211.2,2026-03-18,EAST
M-0047,3763.8,2026-03-17,EAST
M-0048,1466.4,2026-03-17,WEST
M-0049,3304.2,2026-03-16,EAST
M-0050,2317.7,2026-03-19,EAST
M-0051,818.0,2026-03-14,SOUTH
M-0052,2666.5,2026-03-17,EAST
M-0053,1605.8,2026-03-16,WEST
M-0054,860.4,2026-03-14,EAST
M-0055,572.6,2026-03-19,NORTH
M-0056,3174.2,2026-03-15,WEST
M-0057,1602.3,2026-03-18,SOUTH
M-0058,3486.3,2026-03-18,WEST
M-0059,3636.7,2026-03-17,SOUTH
M-0060,856.5,2026-03-14,SOUTH
M-0061,2600.2,2026-03-19,EAST
M-0062,2611.4,2026-03-16,NORTH
M-0063,519.5,2026-03-19,NORTH
M-0064,3489.1,2026-03-18,WEST
M-0065,1032.5,2026-03-18,SOUTH
M-0066,3256.2,2026-03-17,WEST
M-0067,3555.3,2026-03-18,SOUTH
M-0068,2962.1,2026-03-20,WEST
M-0069,296.7,2026-03-20,SOUTH
M-0070,1268.5,2026-03-19,EAST
M-0071,1644.1,2026-03-15,WEST
M-0072,2973.7,2026-03-20,SOUTH
M-0073,543.6,2026-03-18,SOUTH
M-0074,3736.5,2026-03-17,EAST
M-0075,1144.2,2026-03-18,NORTH
M-0076,760.0,2026-03-14,WEST
M-0077,2374.3,2026-03-16,EAST
M-0078,3754.0,2026-03-20,EAST
M-0079,2658.0,2026-03-16,SOUTH
M-0080,1590.0,2026-03-17,SOUTH
M-0081,3016.4,2026-03-20,EAST
M-0082,187.2,2026-03-14,EAST
M-0083,2562.8,2026-03-14,EAST
M-0084,3779.0,2026-03-20,WEST
M-0085,804.1,2026-03-20,EAST
M-0086,1360.6,2026-03-16,WEST
M-0087,2123.0,2026-03-18,EAST
M-0088,157.1,2026-03-18,WEST
M-0089,1471.9,2026-03-16,SOUTH
M-0090,2719.1,2026-03-15,SOUTH
M-0091,NA,2026-03-18,NORTH
M-0092,NA,2026-03-20,EAST
M-0093,NA,2026-03-15,WEST
M-0094,NA,2026-03-20,WEST
M-0095,NA,2026-03-16,SOUTH
M-0096,,2026-03-19,NORTH
M-0097,,2026-03-16,EAST
M-0098,,2026-03-17,EAST
M-0099,,2026-03-14,SOUTH
M-0100,,2026-03-15,WEST
M-0101,1234.5,2026-03-20
M-0102,bad,data,extra,columns
CORRUPT LINE
