meter_id,scada_kw,cellular_kw,date,region
M-0001,1472.8,,2026-03-10,NORTH
M-0001,1696.7,,2026-03-11,NORTH
M-0001,1666.5,1675.3,2026-03-12,NORTH
M-0001,1561.4,1555.7,2026-03-13,NORTH
M-0001,1542.3,1545.9,2026-03-14,NORTH
M-0001,1657.0,1653.8,2026-03-15,NORTH
M-0001,1604.2,1603.6,2026-03-16,NORTH
M-0002,965.1,,2026-03-10,NORTH
M-0002,1175.8,1183.8,2026-03-11,NORTH
M-0002,1352.8,1347.1,2026-03-12,NORTH
M-0002,1026.4,1028.3,2026-03-13,NORTH
M-0002,,1330.3,2026-03-14,NORTH
M-0002,1151.6,1143.2,2026-03-15,NORTH
M-0002,996.5,986.6,2026-03-16,NORTH
M-0003,1855.2,1846.3,2026-03-10,NORTH
M-0003,1877.9,1883.2,2026-03-11,NORTH
M-0003,2052.9,2045.5,2026-03-12,NORTH
M-0003,2014.8,2017.0,2026-03-13,NORTH
M-0003,1813.5,,2026-03-14,NORTH
M-0003,1845.9,,2026-03-15,NORTH
M-0003,1999.3,2005.3,2026-03-16,NORTH
M-0004,,,2026-03-10,NORTH
M-0004,590.2,581.2,2026-03-11,NORTH
M-0004,634.7,632.7,2026-03-12,NORTH
M-0004,623.5,,2026-03-13,NORTH
M-0004,844.3,842.3,2026-03-14,NORTH
M-0004,599.6,602.7,2026-03-15,NORTH
M-0004,824.8,819.2,2026-03-16,NORTH
M-0005,2357.6,,2026-03-10,NORTH
M-0005,2289.8,2299.1,2026-03-11,NORTH
M-0005,2459.0,2466.5,2026-03-12,NORTH
M-0005,2471.0,2466.1,2026-03-13,NORTH
M-0005,2421.5,2423.7,2026-03-14,NORTH
M-0005,2529.0,2538.7,2026-03-15,NORTH
M-0005,2433.8,2441.5,2026-03-16,NORTH
M-0006,2512.3,2506.2,2026-03-10,NORTH
M-0006,2303.3,2306.4,2026-03-11,NORTH
M-0006,2581.1,,2026-03-12,NORTH
M-0006,2372.8,2365.0,2026-03-13,NORTH
M-0006,2235.1,2238.5,2026-03-14,NORTH
M-0006,2301.5,2300.4,2026-03-15,NORTH
M-0006,2534.0,2533.4,2026-03-16,NORTH
M-0007,2336.1,2341.5,2026-03-10,NORTH
M-0007,2091.6,,2026-03-11,NORTH
M-0007,2315.6,2313.9,2026-03-12,NORTH
M-0007,2306.3,2308.1,2026-03-13,NORTH
M-0007,2386.0,2391.9,2026-03-14,NORTH
M-0007,2152.3,2144.9,2026-03-15,NORTH
M-0007,2262.0,2266.0,2026-03-16,NORTH
M-0008,3225.4,,2026-03-10,SOUTH
M-0008,3382.9,3380.6,2026-03-11,SOUTH
M-0008,3528.6,3536.5,2026-03-12,SOUTH
M-0008,,,2026-03-13,SOUTH
M-0008,3249.7,3240.0,2026-03-14,SOUTH
M-0008,3351.5,3356.2,2026-03-15,SOUTH
M-0008,3367.1,3368.8,2026-03-16,SOUTH
M-0009,,,2026-03-10,SOUTH
M-0009,768.1,,2026-03-11,SOUTH
M-0009,694.6,698.5,2026-03-12,SOUTH
M-0009,953.3,,2026-03-13,SOUTH
M-0009,741.3,742.5,2026-03-14,SOUTH
M-0009,854.7,857.8,2026-03-15,SOUTH
M-0009,663.7,668.2,2026-03-16,SOUTH
M-0010,615.2,618.1,2026-03-10,SOUTH
M-0010,929.0,931.3,2026-03-11,SOUTH
M-0010,825.1,816.2,2026-03-12,SOUTH
M-0010,830.7,,2026-03-13,SOUTH
M-0010,625.1,634.4,2026-03-14,SOUTH
M-0010,,589.2,2026-03-15,SOUTH
M-0010,898.6,,2026-03-16,SOUTH
M-0011,2987.1,,2026-03-10,SOUTH
M-0011,2987.6,2993.1,2026-03-11,SOUTH
M-0011,2762.8,,2026-03-12,SOUTH
M-0011,2757.6,,2026-03-13,SOUTH
M-0011,2989.8,2985.7,2026-03-14,SOUTH
M-0011,2808.4,,2026-03-15,SOUTH
M-0011,2880.0,2876.7,2026-03-16,SOUTH
M-0012,2766.8,2769.0,2026-03-10,SOUTH
M-0012,3030.4,,2026-03-11,SOUTH
M-0012,2868.5,2868.7,2026-03-12,SOUTH
M-0012,2844.1,2853.9,2026-03-13,SOUTH
M-0012,3012.1,,2026-03-14,SOUTH
M-0012,2926.8,2917.4,2026-03-15,SOUTH
M-0012,3113.2,,2026-03-16,SOUTH
M-0013,,3365.9,2026-03-10,EAST
M-0013,3522.9,3531.6,2026-03-11,EAST
M-0013,3295.1,3291.9,2026-03-12,EAST
M-0013,3632.2,,2026-03-13,EAST
M-0013,3358.5,3352.7,2026-03-14,EAST
M-0013,3440.0,,2026-03-15,EAST
M-0013,3319.3,3314.3,2026-03-16,EAST
M-0014,1181.5,1181.6,2026-03-10,EAST
M-0014,1138.2,,2026-03-11,EAST
M-0014,,1196.2,2026-03-12,EAST
M-0014,1021.1,1017.8,2026-03-13,EAST
M-0014,,,2026-03-14,EAST
M-0014,,,2026-03-15,EAST
M-0014,1038.0,,2026-03-16,EAST
M-0015,1146.6,,2026-03-10,EAST
M-0015,961.4,954.2,2026-03-11,EAST
M-0015,,1028.8,2026-03-12,EAST
M-0015,1008.4,1015.1,2026-03-13,EAST
M-0015,1059.3,1056.8,2026-03-14,EAST
M-0015,1227.7,,2026-03-15,EAST
M-0015,,1009.8,2026-03-16,EAST
M-0016,148.0,151.8,2026-03-10,EAST
M-0016,250.3,257.8,2026-03-11,EAST
M-0016,464.1,,2026-03-12,EAST
M-0016,425.7,,2026-03-13,EAST
M-0016,474.5,,2026-03-14,EAST
M-0016,143.4,145.8,2026-03-15,EAST
M-0016,279.3,269.6,2026-03-16,EAST
M-0017,501.8,497.4,2026-03-10,EAST
M-0017,709.3,707.8,2026-03-11,EAST
M-0017,476.8,478.9,2026-03-12,EAST
M-0017,697.0,,2026-03-13,EAST
M-0017,658.5,,2026-03-14,EAST
M-0017,,539.8,2026-03-15,EAST
M-0017,356.4,359.1,2026-03-16,EAST
M-0018,,1070.5,2026-03-10,WEST
M-0018,1035.3,,2026-03-11,WEST
M-0018,1112.9,,2026-03-12,WEST
M-0018,1091.0,,2026-03-13,WEST
M-0018,1043.2,1053.2,2026-03-14,WEST
M-0018,757.5,762.5,2026-03-15,WEST
M-0018,754.1,,2026-03-16,WEST
M-0019,1295.3,,2026-03-10,WEST
M-0019,950.1,956.7,2026-03-11,WEST
M-0019,1057.1,1059.1,2026-03-12,WEST
M-0019,1299.3,1295.4,2026-03-13,WEST
M-0019,1100.7,1099.9,2026-03-14,WEST
M-0019,1032.3,,2026-03-15,WEST
M-0019,1146.1,1137.5,2026-03-16,WEST
M-0020,2829.5,2835.2,2026-03-10,WEST
M-0020,,,2026-03-11,WEST
M-0020,2783.5,,2026-03-12,WEST
M-0020,,2969.6,2026-03-13,WEST
M-0020,2892.9,2886.4,2026-03-14,WEST
M-0020,,,2026-03-15,WEST
M-0020,2610.4,2606.4,2026-03-16,WEST
