meter_id,region,daily_kw,date
M-00093,SOUTH,76.57,2026-03-06
M-00420,WEST,78.74,2026-03-02
M-01439,NORTH,15.18,2026-03-20
M-01800,NORTH,93.45,2026-03-12
,NORTH,343.74,2026-03-01
M-01036,EAST,20.5,2026-03-19
M-00454,NORTH,442.39,2026-03-25
M-01036,EAST,17.48,2026-03-27
M-01285,SOUTH,84.28,2026-03-21
M-00237,WEST,13.74,2026-03-22
M-00422,SOUTH,19.39,2026-03-12
M-01734,WEST,12.27,2026-03-15
M-00022,SOUTH,88.57,2026-03-08
M-01980,NORTH,97.31,2026-03-09
M-01426,EAST,82.09,2026-03-24
,EAST,76.27,2026-03-15
M-00360,NORTH,15.18,2026-03-05
M-01596,SOUTH,11.58,2026-03-07
M-00584,EAST,472.1,2026-03-15
M-00237,WEST,16.0,2026-03-15
M-01509,NORTH,17.27,2026-03-17
M-00937,SOUTH,16.76,2026-03-23
M-01790,NORTH,22.13,2026-03-26
M-00981,SOUTH,387.32,2026-03-18
M-00526,SOUTH,10.91,2026-03-13
M-01007,SOUTH,19.64,2026-03-18
M-00529,EAST,15.71,2026-03-28
M-01359,NORTH,331.31,2026-03-07
M-01320,SOUTH,21.05,2026-03-30
M-00721,NORTH,10.31,2026-03-31
M-00366,NORTH,14.98,2026-03-09
M-01036,EAST,20.63,2026-03-25
M-00671,WEST,13.68,2026-03-05
M-00229,NORTH,15.8,2026-03-08
M-00589,WEST,18.25,2026-03-20
M-01943,NORTH,70.32,2026-03-24
M-01450,EAST,15.88,2026-03-03
,NORTH,169.1,2026-03-03
M-00520,NORTH,13.75,2026-03-07
M-01866,NORTH,17.65,2026-03-20
M-00052,EAST,18.93,2026-03-29
M-00795,NORTH,80.82,2026-03-10
M-00598,EAST,19.42,2026-03-06
M-01532,EAST,18.7,2026-03-30
M-00356,WEST,19.16,2026-03-18
M-00469,EAST,17.32,2026-03-28
M-01150,NORTH,75.15,2026-03-22
M-01811,EAST,87.96,2026-03-29
M-00457,WEST,18.44,2026-03-16
M-00121,EAST,259.77,2026-03-12
M-01785,WEST,65.5,2026-03-19
M-00121,EAST,569.86,2026-03-19
M-01687,WEST,79.27,2026-03-03
M-01069,NORTH,458.9,2026-03-22
M-01204,NORTH,21.39,2026-03-04
M-00889,NORTH,95.89,2026-03-23
M-00278,SOUTH,82.32,2026-03-12
M-00898,NORTH,15.77,2026-03-14
M-01419,WEST,12.38,2026-03-28
M-01996,EAST,82.08,2026-03-30
,EAST,453.38,2026-03-02
M-01394,NORTH,100.18,2026-03-09
M-00223,WEST,16.87,2026-03-25
M-00579,EAST,19.84,2026-03-11
M-00589,WEST,22.28,2026-03-01
M-00734,SOUTH,13.56,2026-03-10
M-00469,EAST,17.47,2026-03-22
M-01358,NORTH,431.67,2026-03-11
M-01996,EAST,98.53,2026-03-14
M-01401,WEST,14.24,2026-03-31
M-00010,EAST,15.04,2026-03-09
M-00178,WEST,80.23,2026-03-30
M-01926,NORTH,102.48,2026-03-01
M-00049,SOUTH,13.61,2026-03-08
M-00264,SOUTH,100.24,2026-03-08
M-01119,WEST,91.59,2026-03-01
M-00848,WEST,20.57,2026-03-05
M-00074,SOUTH,15.27,2026-03-21
M-00049,SOUTH,17.3,2026-03-05
M-00579,EAST,17.4,2026-03-06
M-00600,WEST,15.19,2026-03-08
M-00412,WEST,18.12,2026-03-13
M-01943,NORTH,93.29,2026-03-23
M-00108,NORTH,107.01,2026-03-16
M-01154,EAST,10.0,2026-03-03
M-01513,SOUTH,19.14,2026-03-09
M-00360,NORTH,10.96,2026-03-04
M-01119,WEST,81.23,2026-03-07
M-01800,NORTH,85.36,2026-03-13
M-01274,EAST,16.06,2026-03-20
M-00824,WEST,18.41,2026-03-12
M-01943,NORTH,94.5,2026-03-01
M-00422,SOUTH,17.69,2026-03-02
M-01726,WEST,456.64,2026-03-29
M-00536,WEST,513.89,2026-03-23
M-00406,NORTH,20.21,2026-03-11
M-01284,WEST,79.43,2026-03-31
M-01853,NORTH,14.51,2026-03-24
M-00178,WEST,70.38,2026-03-12
M-00496,NORTH,103.11,2026-03-11
M-01691,EAST,18.23,2026-03-23
M-00224,WEST,92.72,2026-03-29
M-00343,EAST,58.4,2026-03-15
M-00235,EAST,91.19,2026-03-14
M-01703,WEST,18.63,2026-03-28
M-01100,NORTH,15.43,2026-03-12
,SOUTH,79.76,2026-03-31
M-01283,SOUTH,490.85,2026-03-09
M-01878,WEST,18.31,2026-03-16
M-00866,WEST,97.01,2026-03-09
M-00139,EAST,13.36,2026-03-20
M-00223,WEST,13.16,2026-03-16
M-01080,NORTH,20.09,2026-03-12
M-01090,WEST,22.04,2026-03-20
M-01015,SOUTH,16.77,2026-03-17
M-00440,EAST,17.62,2026-03-10
M-01687,WEST,86.03,2026-03-21
M-01168,WEST,71.83,2026-03-17
M-00264,SOUTH,73.88,2026-03-26
M-01579,SOUTH,8.74,2026-03-03
,EAST,211.42,2026-03-07
M-00417,EAST,23.24,2026-03-30
M-01848,SOUTH,66.69,2026-03-16
M-00802,EAST,318.82,2026-03-11
M-00839,WEST,76.24,2026-03-31
M-00399,SOUTH,8.32,2026-03-30
M-00424,EAST,18.79,2026-03-19
M-00734,SOUTH,16.12,2026-03-11
M-01283,SOUTH,393.35,2026-03-11
M-00893,NORTH,19.02,2026-03-15
M-01667,EAST,20.45,2026-03-07
M-01693,NORTH,19.1,2026-03-23
M-01080,NORTH,16.11,2026-03-01
M-01421,EAST,18.32,2026-03-18
M-00363,EAST,20.99,2026-03-11
M-01761,SOUTH,17.16,2026-03-07
M-01688,NORTH,21.52,2026-03-04
M-01154,EAST,11.36,2026-03-24
M-00090,NORTH,435.51,2026-03-26
M-00386,SOUTH,15.9,2026-03-10
M-00183,SOUTH,17.81,2026-03-21
M-00412,WEST,18.63,2026-03-12
M-01828,SOUTH,73.19,2026-03-06
M-01848,SOUTH,89.11,2026-03-04
M-00261,NORTH,17.31,2026-03-15
M-01579,SOUTH,14.78,2026-03-11
M-01020,WEST,95.73,2026-03-16
M-00635,EAST,18.78,2026-03-27
M-01847,NORTH,20.85,2026-03-11
M-01872,EAST,18.46,2026-03-20
M-01351,WEST,16.52,2026-03-25
M-01571,EAST,16.12,2026-03-02
M-01401,WEST,11.82,2026-03-05
M-00652,EAST,18.13,2026-03-06
M-01015,SOUTH,20.14,2026-03-12
M-01465,EAST,19.39,2026-03-11
M-01261,WEST,17.22,2026-03-14
M-00137,EAST,87.67,2026-03-23
M-00406,NORTH,19.16,2026-03-04
M-00010,EAST,15.29,2026-03-08
M-00779,WEST,21.83,2026-03-23
M-01211,SOUTH,433.71,2026-03-02
M-00417,EAST,24.38,2026-03-05
M-01339,EAST,15.93,2026-03-13
M-00137,EAST,106.56,2026-03-16
,WEST,277.27,2026-03-02
M-01450,EAST,18.56,2026-03-07
M-00893,NORTH,22.2,2026-03-19
M-01032,EAST,85.89,2026-03-29
M-00376,WEST,12.52,2026-03-30
M-01880,NORTH,21.26,2026-03-09
M-01571,EAST,14.08,2026-03-25
M-00021,EAST,21.31,2026-03-07
M-00010,EAST,14.94,2026-03-15
,WEST,106.27,2026-03-04
,NORTH,372.69,2026-03-28
M-00377,EAST,20.45,2026-03-24
M-01866,NORTH,21.77,2026-03-12
M-00150,WEST,69.62,2026-03-19
M-01412,WEST,85.58,2026-03-01
M-00721,NORTH,12.39,2026-03-28
M-00906,WEST,20.53,2026-03-11
M-01621,NORTH,80.85,2026-03-20
M-00893,NORTH,14.39,2026-03-26
M-00782,NORTH,18.45,2026-03-03
M-00290,WEST,13.5,2026-03-28
,EAST,465.43,2026-03-10
M-00462,NORTH,15.0,2026-03-31
M-01342,NORTH,72.59,2026-03-14
M-00920,EAST,20.87,2026-03-03
M-01878,WEST,17.79,2026-03-04
M-01853,NORTH,18.69,2026-03-15
M-01740,SOUTH,20.8,2026-03-31
M-01728,SOUTH,20.64,2026-03-29
M-00795,NORTH,87.84,2026-03-24
M-01477,NORTH,90.55,2026-03-23
M-00678,WEST,21.44,2026-03-03
M-01844,WEST,18.49,2026-03-07
M-01413,SOUTH,14.07,2026-03-27
M-01980,NORTH,87.79,2026-03-01
M-00203,WEST,14.22,2026-03-29
M-01880,NORTH,12.31,2026-03-24
M-01667,EAST,20.13,2026-03-28
M-01947,WEST,18.33,2026-03-26
,NORTH,437.39,2026-03-27
M-00314,WEST,20.99,2026-03-08
M-01065,EAST,17.07,2026-03-10
M-01426,EAST,71.12,2026-03-06
M-00920,EAST,18.83,2026-03-24
M-00629,NORTH,381.33,2026-03-14
M-00671,WEST,21.48,2026-03-12
M-01846,NORTH,18.17,2026-03-22
M-00898,NORTH,10.99,2026-03-22
M-00022,SOUTH,90.26,2026-03-09
M-01414,NORTH,83.7,2026-03-30
M-00224,WEST,69.88,2026-03-22
M-01211,SOUTH,443.87,2026-03-11
M-00629,NORTH,356.12,2026-03-27
M-00399,SOUTH,10.69,2026-03-05
M-00366,NORTH,19.23,2026-03-27
M-00659,WEST,10.39,2026-03-17
M-01485,EAST,18.19,2026-03-30
M-01514,EAST,85.7,2026-03-24
M-00021,EAST,15.61,2026-03-27
M-00411,SOUTH,18.16,2026-03-30
M-01001,SOUTH,18.48,2026-03-14
M-00049,SOUTH,20.46,2026-03-08
M-01734,WEST,20.32,2026-03-25
M-00290,WEST,14.3,2026-03-29
M-00085,WEST,18.97,2026-03-30
M-01394,NORTH,70.82,2026-03-08
M-00866,WEST,92.25,2026-03-04
M-01691,EAST,15.0,2026-03-01
,EAST,64.93,2026-03-06
M-00808,SOUTH,20.71,2026-03-04
M-01230,NORTH,90.72,2026-03-22
M-00529,EAST,11.04,2026-03-10
M-00378,NORTH,20.18,2026-03-21
M-01211,SOUTH,345.45,2026-03-16
M-01728,SOUTH,11.31,2026-03-09
M-01306,SOUTH,18.08,2026-03-14
M-01673,SOUTH,13.37,2026-03-31
M-00893,NORTH,20.64,2026-03-31
M-01564,SOUTH,17.91,2026-03-16
M-01934,SOUTH,21.76,2026-03-23
M-01283,SOUTH,470.36,2026-03-15
M-00852,NORTH,18.42,2026-03-02
M-01320,SOUTH,25.75,2026-03-25
M-01137,NORTH,18.58,2026-03-01
M-01661,NORTH,20.72,2026-03-30
M-01069,NORTH,349.73,2026-03-23
M-01761,SOUTH,17.96,2026-03-21
M-01412,WEST,68.05,2026-03-16
M-01137,NORTH,15.86,2026-03-10
M-01719,SOUTH,17.39,2026-03-04
M-01318,SOUTH,96.08,2026-03-07
M-00782,NORTH,22.67,2026-03-26
M-00621,NORTH,18.17,2026-03-25
M-01807,WEST,443.58,2026-03-22
M-01261,WEST,20.24,2026-03-08
M-00992,EAST,90.61,2026-03-24
M-01036,EAST,18.88,2026-03-01
M-00810,SOUTH,18.79,2026-03-23
M-01426,EAST,72.0,2026-03-21
M-00816,EAST,74.83,2026-03-18
M-01090,WEST,18.36,2026-03-03
M-01230,NORTH,70.03,2026-03-08
M-01081,NORTH,12.34,2026-03-04
,NORTH,287.36,2026-03-22
M-00947,WEST,16.52,2026-03-03
M-01102,NORTH,19.51,2026-03-19
M-00314,WEST,19.76,2026-03-10
M-01621,NORTH,87.12,2026-03-01
M-01571,EAST,18.31,2026-03-22
M-01943,NORTH,78.94,2026-03-01
M-01081,NORTH,11.43,2026-03-16
M-01688,NORTH,19.83,2026-03-22
M-00172,EAST,12.25,2026-03-18
M-00360,NORTH,13.08,2026-03-28
M-00629,NORTH,358.06,2026-03-05
M-01090,WEST,13.37,2026-03-16
M-01551,EAST,16.14,2026-03-25
M-01284,WEST,81.12,2026-03-31
M-01853,NORTH,14.25,2026-03-02
M-00137,EAST,96.82,2026-03-01
M-00264,SOUTH,71.53,2026-03-28
M-01579,SOUTH,13.56,2026-03-16
M-01032,EAST,99.07,2026-03-25
M-01256,NORTH,15.5,2026-03-20
M-00293,EAST,18.42,2026-03-01
M-00598,EAST,15.16,2026-03-03
M-00629,NORTH,422.58,2026-03-09
M-00981,SOUTH,402.2,2026-03-21
M-00848,WEST,16.9,2026-03-11
M-00469,EAST,21.16,2026-03-17
M-00314,WEST,21.26,2026-03-22
M-01081,NORTH,10.86,2026-03-16
M-00496,NORTH,100.54,2026-03-20
M-00422,SOUTH,17.48,2026-03-21
M-00678,WEST,20.56,2026-03-08
M-01339,EAST,15.43,2026-03-30
M-01691,EAST,16.66,2026-03-27
M-01957,SOUTH,19.88,2026-03-09
M-00587,NORTH,17.16,2026-03-20
M-01703,WEST,16.47,2026-03-26
M-01274,EAST,19.51,2026-03-23
M-01800,NORTH,103.04,2026-03-07
M-00899,WEST,388.79,2026-03-24
M-01889,NORTH,11.89,2026-03-07
M-00852,NORTH,19.59,2026-03-16
M-01621,NORTH,101.81,2026-03-16
M-00462,NORTH,15.61,2026-03-09
M-01412,WEST,87.96,2026-03-04
M-01847,NORTH,18.22,2026-03-07
M-00239,WEST,17.98,2026-03-30
M-01847,NORTH,16.12,2026-03-19
M-01667,EAST,16.91,2026-03-02
M-00496,NORTH,73.02,2026-03-13
M-01703,WEST,16.27,2026-03-06
M-01342,NORTH,89.71,2026-03-04
M-01875,EAST,86.24,2026-03-05
M-01099,WEST,13.06,2026-03-19
M-00659,WEST,15.64,2026-03-11
M-01693,NORTH,17.57,2026-03-08
M-01285,SOUTH,94.24,2026-03-25
M-01320,SOUTH,16.8,2026-03-01
M-00420,WEST,92.45,2026-03-25
M-01306,SOUTH,19.08,2026-03-31
M-01285,SOUTH,101.89,2026-03-24
M-00678,WEST,18.51,2026-03-08
M-00381,EAST,16.7,2026-03-08
M-01514,EAST,107.17,2026-03-09
M-01312,WEST,14.21,2026-03-22
M-01477,NORTH,100.93,2026-03-15
M-00773,WEST,13.97,2026-03-28
M-01811,EAST,65.45,2026-03-13
M-00457,WEST,19.56,2026-03-01
M-00363,EAST,19.12,2026-03-14
M-00090,NORTH,510.52,2026-03-11
M-00906,WEST,15.33,2026-03-15
M-00920,EAST,17.87,2026-03-05
M-01413,SOUTH,12.9,2026-03-07
M-01933,NORTH,20.39,2026-03-09
M-00291,WEST,95.0,2026-03-29
M-01887,EAST,383.34,2026-03-22
M-00032,WEST,17.4,2026-03-23
M-00326,WEST,17.22,2026-03-19
