meter_id,region,customer_type,daily_kw,date
M-00310,SOUTH,RESIDENTIAL,15.7,2026-01-24
M-00799,WEST,RESIDENTIAL,20.34,2026-01-09
M-00420,WEST,COMMERCIAL,72.54,2026-01-06
M-00364,EAST,COMMERCIAL,98.16,2026-01-12
M-00612,EAST,COMMERCIAL,92.04,2026-01-26
M-00296,NORTH,RESIDENTIAL,17.48,2026-01-06
M-01823,SOUTH,RESIDENTIAL,20.05,2026-01-23
M-01323,WEST,RESIDENTIAL,18.63,2026-01-22
M-00221,EAST,RESIDENTIAL,20.74,2026-01-18
M-01697,EAST,COMMERCIAL,92.9,2026-01-20
M-00784,NORTH,RESIDENTIAL,18.56,2026-01-17
M-00884,SOUTH,RESIDENTIAL,17.28,2026-01-04
M-00973,NORTH,COMMERCIAL,76.8,2026-01-01
M-00306,SOUTH,COMMERCIAL,69.16,2026-01-18
M-00348,WEST,PROSUMER,13.64,2026-01-02
M-01914,SOUTH,RESIDENTIAL,18.42,2026-01-30
M-01218,WEST,RESIDENTIAL,18.59,2026-01-11
M-01597,WEST,RESIDENTIAL,18.49,2026-01-26
M-00849,WEST,COMMERCIAL,111.87,2026-01-24
M-00278,SOUTH,COMMERCIAL,77.4,2026-01-03
M-01963,SOUTH,PROSUMER,11.48,2026-01-18
M-01195,SOUTH,COMMERCIAL,99.23,2026-01-01
M-01239,WEST,RESIDENTIAL,18.19,2026-01-11
M-00062,SOUTH,COMMERCIAL,92.85,2026-01-02
M-00684,EAST,COMMERCIAL,90.39,2026-01-31
M-01635,NORTH,RESIDENTIAL,18.61,2026-01-19
M-00945,NORTH,COMMERCIAL,84.37,2026-01-07
M-01261,WEST,RESIDENTIAL,21.82,2026-01-15
M-00071,WEST,INDUSTRIAL,476.13,2026-01-21
M-00925,SOUTH,RESIDENTIAL,18.69,2026-01-06
M-01108,NORTH,RESIDENTIAL,19.1,2026-01-27
M-00780,SOUTH,RESIDENTIAL,21.11,2026-01-19
M-01812,EAST,RESIDENTIAL,18.83,2026-01-03
M-01342,NORTH,COMMERCIAL,76.83,2026-01-13
M-00052,EAST,RESIDENTIAL,18.05,2026-01-26
M-01687,WEST,COMMERCIAL,73.36,2026-01-09
