meter_id,substation_id,region,daily_kw,date
M-00680,SS-E-020,EAST,16.79,2026-01-30
M-00123,SS-S-012,SOUTH,84.13,2026-01-19
M-00267,SS-N-024,NORTH,90.6,2026-01-02
M-01432,SS-E-014,EAST,448.32,2026-01-16
M-00274,SS-E-015,EAST,79.45,2026-01-24
M-00434,SS-E-018,EAST,317.97,2026-01-13
M-00052,SS-E-008,EAST,16.23,2026-01-12
M-01877,SS-E-021,EAST,332.86,2026-01-03
M-01566,SS-E-007,EAST,11.33,2026-01-27
M-01262,SS-W-012,WEST,79.82,2026-01-18
M-00482,SS-E-027,EAST,18.74,2026-01-19
M-00082,SS-N-001,NORTH,12.81,2026-01-09
M-01734,SS-W-001,WEST,18.67,2026-01-31
M-00187,SS-N-025,NORTH,568.13,2026-01-16
M-00099,SS-N-020,NORTH,21.47,2026-01-01
M-00008,SS-E-001,EAST,441.31,2026-01-14
M-00249,SS-W-019,WEST,19.47,2026-01-14
M-01323,SS-W-010,WEST,14.51,2026-01-24
M-01894,SS-S-010,SOUTH,15.83,2026-01-05
M-00600,SS-W-012,WEST,14.02,2026-01-02
M-00535,SS-S-002,SOUTH,428.91,2026-01-11
M-00243,SS-E-024,EAST,20.12,2026-01-31
M-00657,SS-S-030,SOUTH,376.33,2026-01-24
M-01484,SS-N-008,NORTH,86.04,2026-01-21
M-00198,SS-S-006,SOUTH,497.97,2026-01-06
M-01612,SS-N-027,NORTH,13.14,2026-01-02
M-01256,SS-N-030,NORTH,17.63,2026-01-13
M-00419,SS-W-004,WEST,17.73,2026-01-22
M-00807,SS-W-003,WEST,435.34,2026-01-19
M-01268,SS-S-009,SOUTH,78.72,2026-01-03
M-00586,SS-S-011,SOUTH,13.25,2026-01-27
M-00577,SS-S-028,SOUTH,21.89,2026-01-15
M-01168,SS-W-016,WEST,87.32,2026-01-21
M-01221,SS-W-006,WEST,19.59,2026-01-30
M-00187,SS-N-025,NORTH,416.29,2026-01-11
M-01702,SS-N-030,NORTH,17.44,2026-01-25
M-00066,SS-E-007,EAST,81.66,2026-01-15
M-00030,SS-E-016,EAST,19.81,2026-01-20
M-01987,SS-E-024,EAST,13.65,2026-01-05
M-00066,SS-E-007,EAST,76.07,2026-01-16
M-00031,SS-W-021,WEST,408.5,2026-01-11
M-01859,SS-N-008,NORTH,11.88,2026-01-06
M-01076,SS-W-008,WEST,15.75,2026-01-06
M-00233,SS-E-011,EAST,99.14,2026-01-06
M-01030,SS-N-004,NORTH,18.88,2026-01-30
M-01474,SS-W-010,WEST,17.69,2026-01-08
M-00794,SS-S-009,SOUTH,16.07,2026-01-23
M-01680,SS-N-011,NORTH,15.6,2026-01-21
M-00434,SS-E-018,EAST,418.79,2026-01-27
M-00678,SS-W-005,WEST,18.87,2026-01-22
M-01909,SS-N-023,NORTH,15.8,2026-01-24
M-00099,SS-N-020,NORTH,19.55,2026-01-30
M-00666,SS-N-029,NORTH,20.59,2026-01-20
M-00969,SS-E-015,EAST,13.45,2026-01-08
M-01225,SS-S-009,SOUTH,412.39,2026-01-07
M-00123,SS-S-012,SOUTH,85.04,2026-01-11
M-00123,SS-S-012,SOUTH,78.46,2026-01-19
M-00346,SS-S-003,SOUTH,16.38,2026-01-22
M-00984,SS-E-010,EAST,12.74,2026-01-22
M-01999,SS-E-011,EAST,458.95,2026-01-30
M-01659,SS-W-001,WEST,16.32,2026-01-31
M-01672,SS-S-024,SOUTH,440.88,2026-01-24
M-00111,SS-E-009,EAST,15.49,2026-01-18
M-00053,SS-N-016,NORTH,22.72,2026-01-25
M-01893,SS-S-019,SOUTH,22.64,2026-01-03
M-00125,SS-S-008,SOUTH,12.35,2026-01-06
M-00736,SS-S-028,SOUTH,16.39,2026-01-30
M-00052,SS-E-008,EAST,21.08,2026-01-19
M-00983,SS-E-006,EAST,59.89,2026-01-11
M-00224,SS-W-014,WEST,74.74,2026-01-29
M-00008,SS-E-001,EAST,378.89,2026-01-02
M-00030,SS-E-016,EAST,20.59,2026-01-22
M-00123,SS-S-012,SOUTH,79.29,2026-01-13
M-00052,SS-E-008,EAST,13.43,2026-01-22
M-00142,SS-W-017,WEST,88.54,2026-01-24
M-00198,SS-S-006,SOUTH,436.42,2026-01-30
M-00047,SS-E-017,EAST,373.45,2026-01-10
M-00111,SS-E-009,EAST,17.2,2026-01-08
M-00897,SS-W-010,WEST,14.68,2026-01-30
M-01577,SS-N-018,NORTH,401.76,2026-01-24
M-00579,SS-E-012,EAST,15.61,2026-01-12
M-00031,SS-W-021,WEST,417.65,2026-01-05
M-01972,SS-N-023,NORTH,18.18,2026-01-01
M-00187,SS-N-025,NORTH,446.84,2026-01-04
M-00434,SS-E-018,EAST,364.5,2026-01-29
M-01305,SS-E-028,EAST,8.77,2026-01-25
M-00123,SS-S-012,SOUTH,91.18,2026-01-17
M-00052,SS-E-008,EAST,19.11,2026-01-08
M-00501,SS-N-027,NORTH,410.3,2026-01-12
M-00198,SS-S-006,SOUTH,429.55,2026-01-06
M-01501,SS-W-003,WEST,14.46,2026-01-29
M-01528,SS-N-019,NORTH,391.63,2026-01-27
M-01225,SS-S-009,SOUTH,399.99,2026-01-22
M-00977,SS-N-004,NORTH,19.38,2026-01-12
M-01286,SS-W-009,WEST,10.48,2026-01-07
M-00034,SS-E-014,EAST,83.06,2026-01-05
M-00440,SS-E-019,EAST,24.3,2026-01-17
M-00976,SS-W-028,WEST,20.34,2026-01-25
M-00055,SS-S-016,SOUTH,12.44,2026-01-19
M-00031,SS-W-021,WEST,503.27,2026-01-25
M-01900,SS-S-018,SOUTH,21.5,2026-01-20
M-00031,SS-W-021,WEST,388.9,2026-01-16
M-00737,SS-W-017,WEST,434.57,2026-01-17
M-01932,SS-W-017,WEST,19.69,2026-01-16
M-00099,SS-N-020,NORTH,18.05,2026-01-21
M-00123,SS-S-012,SOUTH,101.92,2026-01-21
M-00055,SS-S-016,SOUTH,21.32,2026-01-07
M-00550,SS-W-001,WEST,18.09,2026-01-04
M-01215,SS-S-027,SOUTH,87.29,2026-01-17
M-00290,SS-W-006,WEST,12.18,2026-01-05
