pipeline_id,pipeline_name,owner_team,country,spark_version,status,created_date,last_run_date,monthly_compute_cost_usd,consumer_count,complexity,has_tests,has_documentation
PL-0001,pipeline_billing-no_001,billing-no,norway,3.2.1,active,2023-06-17,2026-01-06,1888.0,8,moderate,yes,no
PL-0002,pipeline_ingestion-fi_002,ingestion-fi,finland,3.5.1,deprecated,2023-07-20,2025-03-24,59.0,0,simple,yes,yes
PL-0003,pipeline_transform-no_003,transform-no,norway,3.4.2,active,2024-12-24,2026-03-18,1665.0,6,complex,yes,no
PL-0004,pipeline_ingestion-se_004,ingestion-se,sweden,3.5.1,active,2025-04-23,2026-01-07,1273.0,1,moderate,yes,no
PL-0005,pipeline_ingestion-no_005,ingestion-no,norway,3.4.2,deprecated,2025-08-15,2025-09-02,33.0,0,complex,no,no
PL-0006,pipeline_ingestion-fi_006,ingestion-fi,finland,3.3.0,active,2024-10-24,2026-02-15,1376.0,1,moderate,yes,no
PL-0007,pipeline_transform-no_007,transform-no,norway,3.4.2,active,2023-12-31,2025-12-21,1853.0,11,complex,yes,yes
PL-0008,pipeline_transform-no_008,transform-no,norway,3.4.2,deprecated,2024-06-02,2025-02-19,94.0,0,complex,yes,no
PL-0009,pipeline_billing-se_009,billing-se,sweden,3.5.1,active,2024-01-11,2026-01-04,126.0,5,simple,no,no
PL-0010,pipeline_ingestion-no_010,ingestion-no,norway,3.4.2,active,2023-10-21,2026-03-18,1319.0,11,moderate,yes,yes
PL-0011,pipeline_ingestion-fi_011,ingestion-fi,finland,3.5.1,active,2023-04-24,2026-01-11,691.0,7,simple,no,yes
PL-0012,pipeline_analytics-no_012,analytics-no,norway,3.4.2,active,2023-03-04,2025-12-04,205.0,6,simple,no,no
PL-0013,pipeline_analytics-no_013,analytics-no,norway,3.4.2,active,2024-02-24,2026-01-22,778.0,0,complex,yes,yes
PL-0014,pipeline_ml-platform_014,ml-platform,norway,3.5.1,active,2023-10-01,2026-02-05,901.0,12,complex,yes,yes
PL-0015,pipeline_analytics-no_015,analytics-no,norway,3.4.2,active,2024-08-28,2026-01-22,588.0,9,simple,yes,yes
PL-0016,pipeline_transform-se_016,transform-se,sweden,3.2.1,active,2023-08-24,2026-03-11,1069.0,4,simple,yes,yes
PL-0017,pipeline_billing-se_017,billing-se,sweden,3.4.2,active,2023-04-21,2026-03-12,1982.0,8,complex,yes,no
PL-0018,pipeline_transform-no_018,transform-no,norway,3.5.1,active,2025-06-10,2025-12-23,442.0,9,simple,no,no
PL-0019,pipeline_ingestion-no_019,ingestion-no,norway,3.5.1,active,2023-01-04,2025-12-04,1283.0,8,complex,yes,yes
PL-0020,pipeline_transform-se_020,transform-se,sweden,3.2.1,active,2023-03-25,2026-01-13,1280.0,8,simple,yes,no
PL-0021,pipeline_platform-core_021,platform-core,norway,3.4.2,active,2025-05-21,2026-03-22,1507.0,10,complex,yes,no
PL-0022,pipeline_analytics-no_022,analytics-no,norway,3.4.2,active,2025-07-22,2026-02-15,169.0,9,complex,yes,yes
PL-0023,pipeline_transform-se_023,transform-se,sweden,3.4.2,active,2023-03-04,2025-12-15,1256.0,6,simple,yes,yes
PL-0024,pipeline_ingestion-se_024,ingestion-se,sweden,3.5.1,active,2023-09-04,2026-03-10,846.0,7,complex,yes,yes
PL-0025,pipeline_ml-platform_025,ml-platform,norway,3.5.1,active,2023-05-03,2025-12-09,1347.0,3,simple,no,no
PL-0026,pipeline_billing-no_026,billing-no,norway,3.4.2,active,2024-07-08,2025-12-26,1067.0,5,simple,yes,yes
PL-0027,pipeline_transform-no_027,transform-no,norway,3.2.1,active,2025-07-23,2025-12-15,1938.0,7,simple,no,no
PL-0028,pipeline_platform-core_028,platform-core,norway,3.3.0,active,2025-07-07,2026-03-25,1481.0,1,simple,yes,no
PL-0029,pipeline_transform-no_029,transform-no,norway,3.2.1,active,2024-12-24,2026-02-26,602.0,1,simple,no,no
PL-0030,pipeline_transform-no_030,transform-no,norway,3.4.2,active,2025-07-27,2026-01-15,1782.0,9,simple,yes,yes
PL-0031,pipeline_billing-fi_031,billing-fi,finland,3.5.1,active,2023-12-17,2025-12-07,1477.0,2,moderate,yes,yes
PL-0032,pipeline_ml-platform_032,ml-platform,norway,3.5.1,active,2024-10-27,2025-12-03,209.0,4,complex,yes,no
PL-0033,pipeline_platform-core_033,platform-core,norway,3.5.1,active,2023-11-12,2026-01-13,97.0,11,simple,no,no
PL-0034,pipeline_platform-core_034,platform-core,norway,3.4.2,active,2024-08-29,2026-01-29,1322.0,2,complex,no,no
PL-0035,pipeline_analytics-no_035,analytics-no,norway,3.3.0,active,2023-07-24,2025-12-10,1485.0,5,simple,yes,no
PL-0036,pipeline_platform-core_036,platform-core,norway,3.2.1,active,2024-12-12,2026-01-25,1146.0,9,moderate,yes,no
PL-0037,pipeline_transform-no_037,transform-no,norway,3.4.2,active,2025-08-24,2026-01-15,1118.0,9,moderate,yes,yes
PL-0038,pipeline_billing-no_038,billing-no,norway,3.4.2,active,2024-06-28,2026-02-07,509.0,10,complex,no,yes
PL-0039,pipeline_ingestion-no_039,ingestion-no,norway,3.4.2,active,2024-09-20,2026-03-27,871.0,12,moderate,no,no
PL-0040,pipeline_ingestion-se_040,ingestion-se,sweden,3.5.1,active,2023-12-01,2026-02-12,1937.0,2,simple,no,no
PL-0041,pipeline_ingestion-se_041,ingestion-se,sweden,3.3.0,active,2025-03-28,2026-02-16,1652.0,4,simple,yes,no
PL-0042,pipeline_ingestion-no_042,ingestion-no,norway,3.4.2,active,2025-09-18,2025-12-10,1930.0,6,moderate,yes,yes
PL-0043,pipeline_ml-platform_043,ml-platform,norway,3.4.2,active,2025-03-11,2026-02-04,395.0,4,complex,no,yes
