date,time_window,cpu_utilization_pct,memory_utilization_pct,pending_applications
2026-03-01,night_00_06,27.0,38.2,0
2026-03-01,morning_06_12,91.6,75.0,2
2026-03-01,afternoon_12_18,62.2,52.4,0
2026-03-01,evening_18_24,29.5,47.9,0
2026-03-02,night_00_06,26.1,33.0,0
2026-03-02,morning_06_12,87.6,85.3,1
2026-03-02,afternoon_12_18,64.4,58.5,0
2026-03-02,evening_18_24,20.1,44.4,0
2026-03-03,night_00_06,25.6,28.8,0
2026-03-03,morning_06_12,93.8,85.3,2
2026-03-03,afternoon_12_18,61.3,64.5,0
2026-03-03,evening_18_24,39.4,30.6,0
2026-03-04,night_00_06,26.3,27.9,0
2026-03-04,morning_06_12,87.0,87.1,1
2026-03-04,afternoon_12_18,46.1,56.4,0
2026-03-04,evening_18_24,29.0,43.7,0
2026-03-05,night_00_06,33.0,27.6,0
2026-03-05,morning_06_12,71.9,93.1,0
2026-03-05,afternoon_12_18,63.4,45.6,0
2026-03-05,evening_18_24,37.8,32.5,0
2026-03-06,night_00_06,18.9,22.6,0
2026-03-06,morning_06_12,72.1,89.1,0
2026-03-06,afternoon_12_18,43.1,61.6,0
2026-03-06,evening_18_24,33.4,42.2,0
2026-03-07,night_00_06,20.4,23.1,0
2026-03-07,morning_06_12,94.4,82.3,2
2026-03-07,afternoon_12_18,59.2,53.1,0
2026-03-07,evening_18_24,24.7,34.6,0
2026-03-08,night_00_06,17.6,20.8,0
2026-03-08,morning_06_12,78.9,86.0,0
2026-03-08,afternoon_12_18,57.5,59.8,0
2026-03-08,evening_18_24,24.1,34.0,0
2026-03-09,night_00_06,15.9,32.2,0
2026-03-09,morning_06_12,88.9,87.2,1
2026-03-09,afternoon_12_18,48.3,65.0,0
2026-03-09,evening_18_24,31.5,37.1,0
2026-03-10,night_00_06,34.1,35.8,0
2026-03-10,morning_06_12,89.2,79.0,1
2026-03-10,afternoon_12_18,64.5,51.7,0
2026-03-10,evening_18_24,42.7,29.4,0
2026-03-11,night_00_06,28.1,29.9,0
2026-03-11,morning_06_12,91.2,92.9,2
2026-03-11,afternoon_12_18,41.3,60.5,0
2026-03-11,evening_18_24,35.7,35.0,0
2026-03-12,night_00_06,31.2,22.3,0
2026-03-12,morning_06_12,75.4,90.8,0
2026-03-12,afternoon_12_18,61.9,54.9,0
2026-03-12,evening_18_24,44.6,49.6,0
2026-03-13,night_00_06,24.0,31.7,0
2026-03-13,morning_06_12,80.5,75.9,0
2026-03-13,afternoon_12_18,47.7,66.7,0
2026-03-13,evening_18_24,34.2,39.5,0
2026-03-14,night_00_06,17.4,29.7,0
2026-03-14,morning_06_12,87.5,75.1,1
2026-03-14,afternoon_12_18,57.5,55.5,0
