pipeline_id,pipeline_name,domain,country,current_mode,latency_requirement,late_data_pct,data_volume_gb,state_size_gb,checkpoint_interval,requires_exactly_once,consumer_count,complexity,team_streaming_experience
PL-0001,transformation_finland_001,transformation,finland,batch,1hour,3.4,10.8,0,n/a,no,12,complex,basic
PL-0002,transformation_sweden_002,transformation,sweden,batch,30min,4.4,12.4,0,n/a,no,12,complex,advanced
PL-0003,ml_sweden_003,ml,sweden,batch,24hour,4.7,4.1,0,n/a,no,3,simple,none
PL-0004,analytics_sweden_004,analytics,sweden,hybrid,30min,3.0,2.4,0,n/a,no,11,complex,none
PL-0005,ops_finland_005,ops,finland,batch,15min,4.5,8.0,0,n/a,no,2,moderate,none
PL-0006,transformation_finland_006,transformation,finland,streaming,30min,1.2,8.6,5.4,1min,no,9,simple,basic
PL-0007,billing_sweden_007,billing,sweden,batch,4hour,2.1,9.0,0,n/a,yes,12,simple,basic
PL-0008,compliance_finland_008,compliance,finland,batch,1hour,1.0,6.7,0,n/a,yes,5,moderate,advanced
PL-0009,analytics_norway_009,analytics,norway,batch,30min,5.2,10.8,0,n/a,no,10,complex,intermediate
PL-0010,analytics_finland_010,analytics,finland,hybrid,30min,5.6,10.4,0,n/a,no,8,complex,basic
PL-0011,transformation_sweden_011,transformation,sweden,batch,15min,1.4,0.6,0,n/a,no,7,complex,none
PL-0012,analytics_norway_012,analytics,norway,hybrid,30min,3.0,7.3,0,n/a,no,6,simple,advanced
PL-0013,billing_finland_013,billing,finland,batch,4hour,1.0,13.6,0,n/a,yes,2,moderate,basic
PL-0014,compliance_sweden_014,compliance,sweden,batch,4hour,1.7,11.4,0,n/a,yes,3,moderate,none
PL-0015,ml_sweden_015,ml,sweden,streaming,1hour,1.9,12.5,7.7,1min,no,2,complex,basic
PL-0016,transformation_finland_016,transformation,finland,batch,30min,1.5,6.4,0,n/a,no,9,simple,none
PL-0017,compliance_sweden_017,compliance,sweden,batch,30min,0.6,6.8,0,n/a,yes,7,moderate,advanced
PL-0018,ops_finland_018,ops,finland,hybrid,15min,5.2,2.5,0,n/a,no,12,simple,advanced
PL-0019,transformation_finland_019,transformation,finland,hybrid,1hour,5.2,7.1,0,n/a,no,11,simple,intermediate
PL-0020,ingestion_finland_020,ingestion,finland,batch,5min,4.5,14.2,0,n/a,no,6,moderate,none
PL-0021,ops_norway_021,ops,norway,batch,15min,2.0,14.0,0,n/a,no,7,simple,advanced
PL-0022,billing_finland_022,billing,finland,batch,30min,0.3,8.1,0,n/a,yes,2,complex,advanced
PL-0023,ingestion_sweden_023,ingestion,sweden,hybrid,1hour,6.3,13.0,0,n/a,no,7,moderate,basic
PL-0024,analytics_sweden_024,analytics,sweden,streaming,1hour,2.0,0.1,5.3,30s,no,4,complex,advanced
PL-0025,ml_sweden_025,ml,sweden,batch,4hour,3.2,2.5,0,n/a,no,2,simple,intermediate
PL-0026,transformation_norway_026,transformation,norway,hybrid,15min,1.4,2.3,0,n/a,no,5,moderate,none
PL-0027,billing_sweden_027,billing,sweden,streaming,30min,2.8,4.5,3.6,30s,yes,9,moderate,advanced
PL-0028,ops_sweden_028,ops,sweden,batch,15min,5.2,3.5,0,n/a,no,9,simple,advanced
PL-0029,compliance_sweden_029,compliance,sweden,batch,1hour,2.5,2.9,0,n/a,yes,12,moderate,advanced
PL-0030,compliance_sweden_030,compliance,sweden,batch,1hour,2.1,11.6,0,n/a,yes,1,moderate,basic
PL-0031,billing_finland_031,billing,finland,batch,1hour,2.2,11.6,0,n/a,yes,7,complex,advanced
PL-0032,ops_sweden_032,ops,sweden,batch,5min,4.5,13.7,0,n/a,no,3,complex,intermediate
PL-0033,ml_norway_033,ml,norway,hybrid,1hour,4.3,5.6,0,n/a,no,12,moderate,basic
PL-0034,ml_norway_034,ml,norway,streaming,24hour,1.3,4.3,2.1,5min,no,3,complex,basic
PL-0035,compliance_norway_035,compliance,norway,batch,4hour,2.1,5.4,0,n/a,yes,7,moderate,intermediate
PL-0036,billing_sweden_036,billing,sweden,streaming,4hour,0.2,5.9,1.7,1min,yes,10,moderate,intermediate
PL-0037,ml_finland_037,ml,finland,batch,4hour,4.3,7.7,0,n/a,no,7,complex,intermediate
PL-0038,ops_finland_038,ops,finland,streaming,15min,6.3,6.5,7.9,1min,no,2,moderate,basic
PL-0039,analytics_norway_039,analytics,norway,batch,1hour,5.0,3.8,0,n/a,no,8,complex,none
PL-0040,ingestion_finland_040,ingestion,finland,hybrid,1hour,8.6,6.6,0,n/a,no,5,moderate,basic
PL-0041,analytics_norway_041,analytics,norway,hybrid,30min,2.0,5.1,0,n/a,no,10,moderate,advanced
PL-0042,ml_sweden_042,ml,sweden,batch,1hour,1.7,9.2,0,n/a,no,7,simple,advanced
PL-0043,analytics_norway_043,analytics,norway,batch,1hour,3.5,13.9,0,n/a,no,9,moderate,advanced
PL-0044,billing_norway_044,billing,norway,batch,30min,0.9,5.3,0,n/a,yes,5,moderate,basic
PL-0045,transformation_sweden_045,transformation,sweden,batch,30min,2.4,8.8,0,n/a,no,5,simple,intermediate
PL-0046,transformation_norway_046,transformation,norway,batch,15min,4.8,12.3,0,n/a,no,12,simple,basic
PL-0047,ingestion_sweden_047,ingestion,sweden,batch,15min,8.5,7.3,0,n/a,no,1,moderate,basic
PL-0048,ops_norway_048,ops,norway,batch,30min,2.2,13.4,0,n/a,no,1,moderate,advanced
PL-0049,ops_finland_049,ops,finland,hybrid,5min,5.2,8.5,0,n/a,no,4,moderate,basic
PL-0050,analytics_finland_050,analytics,finland,batch,30min,1.5,12.0,0,n/a,no,9,simple,advanced
PL-0051,ml_norway_051,ml,norway,hybrid,1hour,1.0,9.7,0,n/a,no,4,moderate,basic
PL-0052,compliance_sweden_052,compliance,sweden,hybrid,4hour,2.7,13.8,0,n/a,yes,12,simple,none
PL-0053,transformation_norway_053,transformation,norway,streaming,30min,4.2,12.1,6.9,30s,no,10,moderate,basic
PL-0054,ops_sweden_054,ops,sweden,batch,15min,7.9,9.4,0,n/a,no,2,simple,intermediate
PL-0055,ml_sweden_055,ml,sweden,batch,1hour,3.1,2.0,0,n/a,no,9,simple,none
PL-0056,ops_sweden_056,ops,sweden,hybrid,30min,2.1,8.6,0,n/a,no,9,complex,none
PL-0057,compliance_norway_057,compliance,norway,streaming,4hour,1.1,5.5,5.9,30s,yes,3,moderate,basic
PL-0058,transformation_norway_058,transformation,norway,batch,15min,3.2,4.1,0,n/a,no,12,simple,none
PL-0059,transformation_sweden_059,transformation,sweden,batch,30min,3.1,1.4,0,n/a,no,8,complex,none
PL-0060,ml_finland_060,ml,finland,hybrid,4hour,4.7,7.4,0,n/a,no,1,complex,basic
PL-0061,analytics_sweden_061,analytics,sweden,batch,4hour,3.1,2.4,0,n/a,no,6,simple,intermediate
PL-0062,ingestion_finland_062,ingestion,finland,batch,15min,3.3,14.8,0,n/a,no,7,simple,intermediate
PL-0063,ops_finland_063,ops,finland,batch,30min,5.7,3.7,0,n/a,no,4,complex,advanced
PL-0064,billing_norway_064,billing,norway,hybrid,4hour,1.5,13.8,0,n/a,yes,1,moderate,advanced
PL-0065,transformation_finland_065,transformation,finland,batch,15min,4.7,6.2,0,n/a,no,3,moderate,advanced
PL-0066,compliance_finland_066,compliance,finland,batch,1hour,1.2,0.4,0,n/a,yes,10,simple,advanced
PL-0067,ml_finland_067,ml,finland,batch,1hour,1.0,3.7,0,n/a,no,3,simple,advanced
PL-0068,analytics_norway_068,analytics,norway,hybrid,15min,4.2,12.7,0,n/a,no,4,moderate,basic
PL-0069,transformation_sweden_069,transformation,sweden,batch,1hour,1.5,11.2,0,n/a,no,5,moderate,intermediate
PL-0070,ingestion_finland_070,ingestion,finland,batch,5min,4.5,11.5,0,n/a,no,10,moderate,advanced
PL-0071,billing_finland_071,billing,finland,hybrid,30min,1.8,1.6,0,n/a,yes,2,moderate,advanced
PL-0072,ml_sweden_072,ml,sweden,hybrid,4hour,3.9,4.7,0,n/a,no,7,complex,basic
PL-0073,compliance_sweden_073,compliance,sweden,batch,4hour,0.8,13.0,0,n/a,yes,12,simple,intermediate
PL-0074,ingestion_norway_074,ingestion,norway,batch,1hour,6.5,10.3,0,n/a,no,10,simple,intermediate
PL-0075,ingestion_sweden_075,ingestion,sweden,hybrid,5min,8.5,13.9,0,n/a,no,5,complex,advanced
PL-0076,ingestion_finland_076,ingestion,finland,batch,1hour,11.5,12.7,0,n/a,no,5,simple,advanced
PL-0077,ops_finland_077,ops,finland,hybrid,15min,1.3,12.4,0,n/a,no,7,moderate,intermediate
PL-0078,transformation_finland_078,transformation,finland,streaming,1hour,4.5,11.5,7.1,30s,no,2,moderate,none
PL-0079,ml_finland_079,ml,finland,hybrid,4hour,0.8,14.8,0,n/a,no,5,complex,advanced
PL-0080,billing_norway_080,billing,norway,batch,1hour,3.0,2.2,0,n/a,yes,2,complex,intermediate
PL-0081,billing_sweden_081,billing,sweden,batch,4hour,1.4,5.7,0,n/a,yes,7,moderate,advanced
PL-0082,ops_finland_082,ops,finland,hybrid,15min,6.6,7.4,0,n/a,no,8,moderate,none
PL-0083,billing_sweden_083,billing,sweden,batch,4hour,2.9,0.4,0,n/a,yes,1,complex,basic
PL-0084,compliance_sweden_084,compliance,sweden,batch,4hour,2.2,8.1,0,n/a,yes,11,moderate,none
PL-0085,ingestion_sweden_085,ingestion,sweden,hybrid,1hour,11.4,9.7,0,n/a,no,8,simple,advanced
PL-0086,ml_norway_086,ml,norway,hybrid,4hour,3.0,6.5,0,n/a,no,3,complex,advanced
PL-0087,analytics_norway_087,analytics,norway,batch,1hour,2.1,9.5,0,n/a,no,10,simple,advanced
PL-0088,transformation_finland_088,transformation,finland,hybrid,30min,2.7,12.5,0,n/a,no,3,simple,basic
PL-0089,ops_norway_089,ops,norway,hybrid,30min,6.6,10.9,0,n/a,no,4,moderate,basic
PL-0090,transformation_norway_090,transformation,norway,streaming,4hour,4.5,5.9,5.7,30s,no,2,complex,basic
PL-0091,ops_sweden_091,ops,sweden,batch,30min,6.8,1.1,0,n/a,no,12,simple,none
PL-0092,ingestion_finland_092,ingestion,finland,batch,15min,2.5,13.5,0,n/a,no,3,complex,advanced
PL-0093,transformation_norway_093,transformation,norway,hybrid,1hour,3.0,3.4,0,n/a,no,10,moderate,basic
PL-0094,compliance_norway_094,compliance,norway,batch,1hour,2.3,8.2,0,n/a,yes,1,simple,intermediate
PL-0095,compliance_finland_095,compliance,finland,batch,1hour,1.4,7.6,0,n/a,yes,1,complex,intermediate
PL-0096,analytics_sweden_096,analytics,sweden,batch,15min,4.4,13.3,0,n/a,no,9,complex,basic
PL-0097,billing_sweden_097,billing,sweden,hybrid,1hour,1.0,10.4,0,n/a,yes,10,moderate,none
PL-0098,compliance_norway_098,compliance,norway,batch,30min,0.6,4.2,0,n/a,yes,3,simple,advanced
PL-0099,billing_finland_099,billing,finland,batch,30min,2.1,6.3,0,n/a,yes,10,simple,advanced
PL-0100,ingestion_finland_100,ingestion,finland,hybrid,1hour,7.4,7.5,0,n/a,no,10,moderate,advanced
