meter_id,daily_kw,date,region,year,month,tier,substation_name
M-001,1250.5,2026-03-01,NORTH,2026,3,medium,Northern Grid Hub
M-002,870.2,2026-03-01,NORTH,2026,3,medium,Northern Grid Hub
M-003,2100.0,2026-03-01,NORTH,2026,3,high,Northern Grid Hub
M-004,450.8,2026-03-01,NORTH,2026,3,low,Northern Grid Hub
M-005,3850.0,2026-03-01,NORTH,2026,3,high,Northern Grid Hub
M-006,1100.0,2026-03-01,SOUTH,2026,3,medium,Southern Power Centre
M-007,690.5,2026-03-01,SOUTH,2026,3,medium,Southern Power Centre
M-008,2900.0,2026-03-01,SOUTH,2026,3,high,Southern Power Centre
M-009,4200.0,2026-03-01,SOUTH,2026,3,critical,Southern Power Centre
M-010,310.0,2026-03-01,EAST,2026,3,low,Eastern Distribution Node
M-011,1500.0,2026-03-01,EAST,2026,3,medium,Eastern Distribution Node
M-012,780.0,2026-03-01,EAST,2026,3,medium,Eastern Distribution Node
M-013,2200.0,2026-03-01,EAST,2026,3,high,Eastern Distribution Node
M-014,950.0,2026-03-01,WEST,2026,3,medium,Western Relay Station
M-015,1800.0,2026-03-01,WEST,2026,3,medium,
M-016,3100.0,2026-03-01,WEST,2026,3,high,
M-017,560.0,2026-03-01,WEST,2026,3,medium,
