meter_id,daily_kw,date,region,year,month,tariff_code,substation_name
N-1-001,300.0,2026-04-18,NORTH-1,2026,4,COMMERCIAL,Northern Grid Hub 1
N-1-002,300.0,2026-04-18,NORTH-1,2026,4,RESIDENTIAL,Northern Grid Hub 1
N-1-003,300.0,2026-04-18,NORTH-1,2026,4,COMMERCIAL,Northern Grid Hub 1
N-1-004,300.0,2026-04-18,NORTH-1,2026,4,RESIDENTIAL,Northern Grid Hub 1
N-1-005,300.0,2026-04-18,NORTH-1,2026,4,COMMERCIAL,Northern Grid Hub 1
N-2-001,300.0,2026-04-18,NORTH-2,2026,4,,Northern Grid Hub 2
N-2-002,300.0,2026-04-18,NORTH-2,2026,4,,Northern Grid Hub 2
N-2-003,300.0,2026-04-18,NORTH-2,2026,4,,Northern Grid Hub 2
N-2-004,300.0,2026-04-18,NORTH-2,2026,4,,Northern Grid Hub 2
N-2-005,300.0,2026-04-18,NORTH-2,2026,4,,Northern Grid Hub 2
N-3-001,300.0,2026-04-18,NORTH-3,2026,4,COMMERCIAL,Northern Grid Hub 3
N-3-002,300.0,2026-04-18,NORTH-3,2026,4,RESIDENTIAL,Northern Grid Hub 3
N-3-003,300.0,2026-04-18,NORTH-3,2026,4,COMMERCIAL,Northern Grid Hub 3
N-3-004,300.0,2026-04-18,NORTH-3,2026,4,RESIDENTIAL,Northern Grid Hub 3
N-3-005,300.0,2026-04-18,NORTH-3,2026,4,COMMERCIAL,Northern Grid Hub 3
S-1-001,300.0,2026-04-18,SOUTH-1,2026,4,COMMERCIAL,Southern Power Centre 1
S-1-002,300.0,2026-04-18,SOUTH-1,2026,4,RESIDENTIAL,Southern Power Centre 1
S-1-003,300.0,2026-04-18,SOUTH-1,2026,4,COMMERCIAL,Southern Power Centre 1
S-1-004,300.0,2026-04-18,SOUTH-1,2026,4,RESIDENTIAL,Southern Power Centre 1
S-1-005,300.0,2026-04-18,SOUTH-1,2026,4,COMMERCIAL,Southern Power Centre 1
S-2-001,300.0,2026-04-18,SOUTH-2,2026,4,COMMERCIAL,Southern Power Centre 2
S-2-002,300.0,2026-04-18,SOUTH-2,2026,4,RESIDENTIAL,Southern Power Centre 2
S-2-003,300.0,2026-04-18,SOUTH-2,2026,4,COMMERCIAL,Southern Power Centre 2
S-2-004,300.0,2026-04-18,SOUTH-2,2026,4,RESIDENTIAL,Southern Power Centre 2
S-2-005,300.0,2026-04-18,SOUTH-2,2026,4,COMMERCIAL,Southern Power Centre 2
S-3-001,300.0,2026-04-18,SOUTH-3,2026,4,COMMERCIAL,Southern Power Centre 3
S-3-002,300.0,2026-04-18,SOUTH-3,2026,4,RESIDENTIAL,Southern Power Centre 3
S-3-003,300.0,2026-04-18,SOUTH-3,2026,4,COMMERCIAL,Southern Power Centre 3
S-3-004,300.0,2026-04-18,SOUTH-3,2026,4,RESIDENTIAL,Southern Power Centre 3
S-3-005,300.0,2026-04-18,SOUTH-3,2026,4,COMMERCIAL,Southern Power Centre 3
E-1-001,300.0,2026-04-18,EAST-1,2026,4,COMMERCIAL,Eastern Distribution Node 1
E-1-002,300.0,2026-04-18,EAST-1,2026,4,RESIDENTIAL,Eastern Distribution Node 1
E-1-003,300.0,2026-04-18,EAST-1,2026,4,COMMERCIAL,Eastern Distribution Node 1
E-1-004,300.0,2026-04-18,EAST-1,2026,4,RESIDENTIAL,Eastern Distribution Node 1
E-1-005,300.0,2026-04-18,EAST-1,2026,4,COMMERCIAL,Eastern Distribution Node 1
E-2-001,300.0,2026-04-18,EAST-2,2026,4,COMMERCIAL,Eastern Distribution Node 2
E-2-002,300.0,2026-04-18,EAST-2,2026,4,RESIDENTIAL,Eastern Distribution Node 2
E-2-003,300.0,2026-04-18,EAST-2,2026,4,COMMERCIAL,Eastern Distribution Node 2
E-2-004,300.0,2026-04-18,EAST-2,2026,4,RESIDENTIAL,Eastern Distribution Node 2
E-2-005,300.0,2026-04-18,EAST-2,2026,4,COMMERCIAL,Eastern Distribution Node 2
E-3-001,300.0,2026-04-18,EAST-3,2026,4,COMMERCIAL,Eastern Distribution Node 3
