meter_id,daily_kw,date,region,year,month,tier,substation_name,customer_type,is_valid
M-N-001,1250.5,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-002,870.2,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-003,2100.0,2026-03-07,NORTH,2026,3,high,Northern Grid Hub,commercial,True
M-N-004,450.8,2026-03-07,NORTH,2026,3,low,Northern Grid Hub,residential,True
M-N-005,3850.0,2026-03-07,NORTH,2026,3,high,Northern Grid Hub,commercial,True
M-N-006,690.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-007,1450.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-008,5200.0,2026-03-07,NORTH,2026,3,critical,Northern Grid Hub,commercial,True
M-N-009,320.0,2026-03-07,NORTH,2026,3,low,Northern Grid Hub,residential,True
M-N-010,1780.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-011,2950.0,2026-03-07,NORTH,2026,3,high,Northern Grid Hub,commercial,True
M-N-012,410.0,2026-03-07,NORTH,2026,3,low,Northern Grid Hub,residential,True
M-N-013,1100.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-014,4400.0,2026-03-07,NORTH,2026,3,critical,Northern Grid Hub,commercial,True
M-N-015,760.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-016,1920.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-017,3300.0,2026-03-07,NORTH,2026,3,high,Northern Grid Hub,commercial,True
M-N-018,580.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-N-019,2600.0,2026-03-07,NORTH,2026,3,high,Northern Grid Hub,commercial,True
M-N-020,990.0,2026-03-07,NORTH,2026,3,medium,Northern Grid Hub,residential,True
M-S-001,1100.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-002,690.5,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-003,2900.0,2026-03-07,SOUTH,2026,3,high,Southern Power Centre,commercial,True
M-S-004,4200.0,2026-03-07,SOUTH,2026,3,critical,Southern Power Centre,commercial,True
M-S-005,310.0,2026-03-07,SOUTH,2026,3,low,Southern Power Centre,residential,True
M-S-006,1500.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-007,780.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-008,2200.0,2026-03-07,SOUTH,2026,3,high,Southern Power Centre,commercial,True
M-S-009,950.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-010,3600.0,2026-03-07,SOUTH,2026,3,high,Southern Power Centre,commercial,True
M-S-011,640.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-012,1350.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-013,5100.0,2026-03-07,SOUTH,2026,3,critical,Southern Power Centre,commercial,True
M-S-014,480.0,2026-03-07,SOUTH,2026,3,low,Southern Power Centre,residential,True
M-S-015,2750.0,2026-03-07,SOUTH,2026,3,high,Southern Power Centre,commercial,True
M-S-016,820.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-017,1650.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-018,3150.0,2026-03-07,SOUTH,2026,3,high,Southern Power Centre,commercial,True
M-S-019,720.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-S-020,1250.0,2026-03-07,SOUTH,2026,3,medium,Southern Power Centre,residential,True
M-E-001,310.0,2026-03-07,EAST,2026,3,low,Eastern Distribution Node,residential,True
M-E-002,1500.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-003,780.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-004,2200.0,2026-03-07,EAST,2026,3,high,Eastern Distribution Node,commercial,True
M-E-005,3900.0,2026-03-07,EAST,2026,3,high,Eastern Distribution Node,commercial,True
M-E-006,550.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-007,1800.0,2026-03-07,EAST,2026,3,medium,Eastern Distribution Node,residential,True
M-E-008,420.0,2026-03-07,EAST,2026,3,low,Eastern Distribution Node,residential,True
